"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"61","033","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Public Counter",398
"61","033","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Manually Counted Emergency",0
"61","033","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Absentee/Military",17
"61","033","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Federal",0
"61","033","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Special Presidential",0
"61","033","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Affidavit",14
"61","033","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Democratic)",299
"61","033","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Republican)",43
"61","033","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Conservative)",8
"61","033","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Independence)",8
"61","049","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Public Counter",662
"61","049","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Manually Counted Emergency",0
"61","049","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Absentee/Military",31
"61","049","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Federal",5
"61","049","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Special Presidential",0
"61","049","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Affidavit",14
"61","049","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Democratic)",489
"61","049","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Republican)",79
"61","049","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Conservative)",21
"61","049","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Independence)",24
"61","049","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Scattered",4
"61","050","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Public Counter",587
"61","050","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Manually Counted Emergency",0
"61","050","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Absentee/Military",36
"61","050","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Federal",2
"61","050","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Special Presidential",0
"61","050","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Affidavit",17
"61","050","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Democratic)",460
"61","050","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Republican)",72
"61","050","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Conservative)",14
"61","050","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Independence)",13
"61","050","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Scattered",3
"61","051","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Public Counter",609
"61","051","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Manually Counted Emergency",0
"61","051","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Absentee/Military",38
"61","051","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Federal",5
"61","051","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Special Presidential",0
"61","051","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Affidavit",17
"61","051","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Democratic)",431
"61","051","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Republican)",116
"61","051","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Conservative)",17
"61","051","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Philip S. Straniere (Independence)",16
"61","051","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Scattered",3
"61","052","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Public Counter",372
"61","052","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Manually Counted Emergency",0
"61","052","Richmond","IN-PLAY","General Election 2016 - 11/08/2016",,"Judge of the Civil Court - District","1402",1,"Absentee/Military",19
