,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Richmond County
 - 
All Parties and Independent Bodies




Judge of the Civil Court - District


2nd Municipal Court District - Richmond


Vote for 1"
"Assembly District 61"
"Public Counter","9,155"
"Manually Counted Emergency",0
"Absentee/Military",471
"Federal",41
"Special Presidential",0
"Affidavit",330
"Total Ballots","9,997"
"Less - Inapplicable Federal/Special Presidential Ballots",(41)
"Total Applicable Ballots","9,956"
,
"Philip S. Straniere (Democratic)","7,295"
"Philip S. Straniere (Republican)","1,045"
"Philip S. Straniere (Conservative)",182
"Philip S. Straniere (Independence)",223
"BOB COHEN (Write-In)",1
"CHRISTOPHER PORCA (Write-In)",1
"DEBI ROSE (Write-In)",1
"ERIC GARNER (Write-In)",2
"FRANK FRANCOIS (Write-In)",1
"JONATHON OSMAN (Write-In)",1
"JUAN WILLIAMS (Write-In)",1
"MARISA IMAZU (Write-In)",1
"MARKEECE JOHNSON (Write-In)",1
"PAUL CAPOTARI (Write-In)",1
"RICHARD LUTHMANN (Write-In)",1
"RICHARD REICHARD (Write-In)",1
"SABASTIAN WISZNIENSKI (Write-In)",1
"TERRENCE T. DAVA (Write-In)",1
"TOM JONES (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",11
,
,
,
"Total Votes","8,772"
"Unrecorded","1,184"

"Assembly District 62"
"Public Counter","51,754"
"Manually Counted Emergency",1
"Absentee/Military","2,356"
"Federal",96
"Special Presidential",0
"Affidavit",746
"Total Ballots","54,953"
"Less - Inapplicable Federal/Special Presidential Ballots",(96)
"Total Applicable Ballots","54,857"
,
"Philip S. Straniere (Democratic)","10,786"
"Philip S. Straniere (Republican)","32,756"
"Philip S. Straniere (Conservative)","3,357"
"Philip S. Straniere (Independence)","1,409"
"ADAM SILBERLIGHT (Write-In)",1
"AL POSECZAC (Write-In)",1
"ALEX NACARRO (Write-In)",1
"ALEXANDER FOTOPOULOS (Write-In)",1
"ALLAN A. HABBAZ (Write-In)",1
"ALYSSA MELFI (Write-In)",1
"ANDREW CASTANO (Write-In)",1
"ANDREW JAMES CRAWFORD (Write-In)",1
"ANDREW MAYER (Write-In)",1
"ANTHONY BEANE (Write-In)",1
"ANTHONY P. VALENTI (Write-In)",1
"ANTHONY SORRENTINO (Write-In)",1
"ARNOLD PALMER (Write-In)",1
"ARNOLD SMITH (Write-In)",1
"BERT KANNUDO (Write-In)",2
"BETSY GOTBAUM (Write-In)",1
"BILL BRATTON (Write-In)",1
"BOB GARZONE (Write-In)",1
"CALEB MEDDERS (Write-In)",1
"CARL GALLO (Write-In)",1
"COLLEEN DONAGHY (Write-In)",1
"DANIEL ABRAHAM (Write-In)",1
"DAVID BALABAN (Write-In)",1
"DICK DICKERSON (Write-In)",1
"EMILY BECKER (Write-In)",1
"ERIC HOLDER (Write-In)",1
"ERIC ROSENSTOCK (Write-In)",1
"FRED HERMAN (Write-In)",1
"GARY M. BURKHAROT (Write-In)",1
"GENA MIMOZO (Write-In)",1
"GEORGE MOONEY (Write-In)",1
"GERALYN GALE (Write-In)",1
"GIA ROTONDI (Write-In)",1
"HENRY J. BARDEL (Write-In)",1
"HESHAM EL-MELIGY (Write-In)",2
"IAN WISMANN (Write-In)",1
"JAMES DOLLARD (Write-In)",1
"JANET RENO (Write-In)",1
"JASON MENNA (Write-In)",1
"JEFFREY BACCH (Write-In)",1
"JENNA RICCO (Write-In)",1
"JENNY DELLER (Write-In)",1
"JERRY PALLATH (Write-In)",1
"JILL STEIN (Write-In)",1
"JOHN FRATTE (Write-In)",1
"JOHN GULIANO (Write-In)",1
"JOHN LENTINE (Write-In)",1
"JOHN MAZZELLA (Write-In)",1
"JOHN STAMOS (Write-In)",1
"JOHN W. MOONEY (Write-In)",1
"JONATHAN DAGASTINO (Write-In)",1
"JOSE ALTUVE (Write-In)",1
"JOSEPH KOVAC (Write-In)",1
"JULIENNE VERDI (Write-In)",2
"KAMAL KARNA K. ROY (Write-In)",1
"KATHERINE HELBIG (Write-In)",1
"KATHLEEN GORMAN (Write-In)",1
"KATHLEEN POSTLER (Write-In)",1
"LISA N. ROY (Write-In)",1
"LIVADORE HAWKS (Write-In)",1
"MARIE E. GORDON (Write-In)",1
"MICHAEL GEIB (Write-In)",1
"MICHAEL GORGA (Write-In)",1
"MICHELLE RAIA (Write-In)",1
"MIKE GLORIA (Write-In)",1
"MOHAMED RADA (Write-In)",1
"MORTI JACOBI (Write-In)",1
"NICHOLAS OLIVA (Write-In)",1
"NICHOLAS R. MCERLEAN (Write-In)",1
"NICK MCERLEAN (Write-In)",1
"PAUL MCCARTNEY (Write-In)",1
"PETER A. LOBUE (Write-In)",1
"RANDOLPH ALBA (Write-In)",1
"RANDY ALBA (Write-In)",1
"REDIOLA MEMA (Write-In)",1
"RICHARD LUTHMANN (Write-In)",1
"RICHARD TRACY (Write-In)",1
"RJ GUERCIO (Write-In)",1
"ROB TERRANOVA (Write-In)",1
"ROBERT OBEMEYER (Write-In)",1
"ROBERT P. FETIK (Write-In)",1
"RON MCGUIRE (Write-In)",1
"ROY BEAN (Write-In)",1
"RYAN MALLOY (Write-In)",1
"TERESA A. CIRELLI (Write-In)",1
"TYRONNE BIGGINS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",48
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VITO CARDINALE (Write-In)",1
"YI LIN (Write-In)",1
,
,
,
"Total Votes","48,448"
"Unrecorded","6,409"

"Assembly District 63"
"Public Counter","19,378"
"Manually Counted Emergency",1
"Absentee/Military","1,077"
"Federal",89
"Special Presidential",0
"Affidavit",332
"Total Ballots","20,877"
"Less - Inapplicable Federal/Special Presidential Ballots",(89)
"Total Applicable Ballots","20,788"
,
"Philip S. Straniere (Democratic)","8,004"
"Philip S. Straniere (Republican)","8,405"
"Philip S. Straniere (Conservative)","1,130"
"Philip S. Straniere (Independence)",589
"ANDREW GUALITIERI (Write-In)",1
"ANTHONY GUARAGNO (Write-In)",1
"BOB JOHNSON (Write-In)",1
"DANIEL E. DUNFORD (Write-In)",1
"DAVID ARTESI (Write-In)",1
"EL-SAYED OSMAN (Write-In)",1
"EVAN J. SCHWAB (Write-In)",1
"GABRIELLA GALLO-CISAK (Write-In)",1
"GEOFFREY CELIS (Write-In)",1
"GEORGE W. BUSH (Write-In)",1
"HESHAM EL-MELIGY (Write-In)",1
"JAMES BIRCH (Write-In)",1
"JEFFREY M. ALFANO (Write-In)",1
"JESSE REICHBACH (Write-In)",1
"JOE BROWN (Write-In)",1
"JOE ROGAN (Write-In)",1
"JOHN DALY (Write-In)",1
"JUSUF FUDULI (Write-In)",1
"KIMBERLY METER (Write-In)",1
"MATTHEW HANLEY (Write-In)",1
"MICHAEL ANTE (Write-In)",1
"NICK MCERLEAN (Write-In)",1
"OLIVER QUEEN (Write-In)",1
"RALPH CARELLA (Write-In)",1
"SPENCER SULTON (Write-In)",1
"STEVE PANYO (Write-In)",1
"SUSAN ROZAK (Write-In)",1
"THOMAS MCMILLEN (Write-In)",1
"THOMAS VENDITTELLI (Write-In)",1
"TIMOTHY LAU (Write-In)",1
"TIMOTHY M. HOUSTON (Write-In)",1
"TOBIAS ZIMMERMAN (Write-In)",1
"TOM MATTHEW (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",10
"URI ROSENRAUCH (Write-In)",1
"VICTOR RODRIGUES (Write-In)",1
"WILHELM FIGUEROA (Write-In)",1
,
,
,
"Total Votes","18,174"
"Unrecorded","2,614"

"Assembly District 64"
"Public Counter","33,493"
"Manually Counted Emergency",0
"Absentee/Military","1,603"
"Federal",101
"Special Presidential",21
"Affidavit",578
"Total Ballots","35,796"
"Less - Inapplicable Federal/Special Presidential Ballots",(122)
"Total Applicable Ballots","35,674"
,
"Philip S. Straniere (Democratic)","10,686"
"Philip S. Straniere (Republican)","17,335"
"Philip S. Straniere (Conservative)","2,024"
"Philip S. Straniere (Independence)","1,099"
"ANTHONY R. FERNANDEZ (Write-In)",1
"ARTHUR AIDALA (Write-In)",1
"ARTHUR AKOPYAM (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BOB SMITH (Write-In)",1
"CAESAR VARGAS (Write-In)",1
"CHARLES MCGOWAN (Write-In)",1
"DYLAN FILINGERI (Write-In)",1
"ELENA ARENA (Write-In)",1
"GARY PHANEUF (Write-In)",1
"HANALE HENRY (Write-In)",1
"HESHAM EL-MELIGY (Write-In)",1
"JAMES MCKAY (Write-In)",1
"JEANINE PIERRO (Write-In)",1
"JEFFREY M. ALFANO (Write-In)",6
"JILL STEIN (Write-In)",1
"JOE BROWN (Write-In)",1
"JOHN MALLOZZI (Write-In)",2
"JONATHAN ROSSI (Write-In)",1
"JOSEPH CALLERERA (Write-In)",1
"JOSEPH DURANTE (Write-In)",1
"JOSEPH GORGA (Write-In)",1
"JOSEPH MAITESE (Write-In)",1
"KENRICK LAU (Write-In)",1
"KRUNG KEEMAN RICHARDS (Write-In)",1
"MARIA BUCHELL (Write-In)",1
"MARK CASNER (Write-In)",1
"MICHAEL A. RUSSO (Write-In)",1
"MIKE ELLIS (Write-In)",1
"NIKO R. NIEVES (Write-In)",1
"PARIS W. HILTON (Write-In)",1
"RALPH NADER (Write-In)",2
"RICHARD SALVATO (Write-In)",1
"ROBERT HELBOCK (Write-In)",1
"ROBIN LAVERNE WILSON (Write-In)",1
"RON PAUL (Write-In)",1
"TONIANA GIORDANO (Write-In)",1
"TRAVIS TEFFT (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",30
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
"WILLIAM ANDREWS (Write-In)",1
,
,
,
"Total Votes","31,224"
"Unrecorded","4,450"

"Total for Judge of the Civil Court - District (2nd Municipal Court District - Richmond) - Richmond County"
"Public Counter","113,780"
"Manually Counted Emergency",2
"Absentee/Military","5,507"
"Federal",327
"Special Presidential",21
"Affidavit","1,986"
"Total Ballots","121,623"
"Less - Inapplicable Federal/Special Presidential Ballots",(348)
"Total Applicable Ballots","121,275"
,
"Philip S. Straniere (Democratic)","36,771"
"Philip S. Straniere (Republican)","59,541"
"Philip S. Straniere (Conservative)","6,693"
"Philip S. Straniere (Independence)","3,320"
"ADAM SILBERLIGHT (Write-In)",1
"AL POSECZAC (Write-In)",1
"ALEX NACARRO (Write-In)",1
"ALEXANDER FOTOPOULOS (Write-In)",1
"ALLAN A. HABBAZ (Write-In)",1
"ALYSSA MELFI (Write-In)",1
"ANDREW CASTANO (Write-In)",1
"ANDREW GUALITIERI (Write-In)",1
"ANDREW JAMES CRAWFORD (Write-In)",1
"ANDREW MAYER (Write-In)",1
"ANTHONY BEANE (Write-In)",1
"ANTHONY GUARAGNO (Write-In)",1
"ANTHONY P. VALENTI (Write-In)",1
"ANTHONY R. FERNANDEZ (Write-In)",1
"ANTHONY SORRENTINO (Write-In)",1
"ARNOLD PALMER (Write-In)",1
"ARNOLD SMITH (Write-In)",1
"ARTHUR AIDALA (Write-In)",1
"ARTHUR AKOPYAM (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BERT KANNUDO (Write-In)",2
"BETSY GOTBAUM (Write-In)",1
"BILL BRATTON (Write-In)",1
"BOB COHEN (Write-In)",1
"BOB GARZONE (Write-In)",1
"BOB JOHNSON (Write-In)",1
"BOB SMITH (Write-In)",1
"CAESAR VARGAS (Write-In)",1
"CALEB MEDDERS (Write-In)",1
"CARL GALLO (Write-In)",1
"CHARLES MCGOWAN (Write-In)",1
"CHRISTOPHER PORCA (Write-In)",1
"COLLEEN DONAGHY (Write-In)",1
"DANIEL ABRAHAM (Write-In)",1
"DANIEL E. DUNFORD (Write-In)",1
"DAVID ARTESI (Write-In)",1
"DAVID BALABAN (Write-In)",1
"DEBI ROSE (Write-In)",1
"DICK DICKERSON (Write-In)",1
"DYLAN FILINGERI (Write-In)",1
"ELENA ARENA (Write-In)",1
"EL-SAYED OSMAN (Write-In)",1
"EMILY BECKER (Write-In)",1
"ERIC GARNER (Write-In)",2
"ERIC HOLDER (Write-In)",1
"ERIC ROSENSTOCK (Write-In)",1
"EVAN J. SCHWAB (Write-In)",1
"FRANK FRANCOIS (Write-In)",1
"FRED HERMAN (Write-In)",1
"GABRIELLA GALLO-CISAK (Write-In)",1
"GARY M. BURKHAROT (Write-In)",1
"GARY PHANEUF (Write-In)",1
"GENA MIMOZO (Write-In)",1
"GEOFFREY CELIS (Write-In)",1
"GEORGE MOONEY (Write-In)",1
"GEORGE W. BUSH (Write-In)",1
"GERALYN GALE (Write-In)",1
"GIA ROTONDI (Write-In)",1
"HANALE HENRY (Write-In)",1
"HENRY J. BARDEL (Write-In)",1
"HESHAM EL-MELIGY (Write-In)",4
"IAN WISMANN (Write-In)",1
"JAMES BIRCH (Write-In)",1
"JAMES DOLLARD (Write-In)",1
"JAMES MCKAY (Write-In)",1
"JANET RENO (Write-In)",1
"JASON MENNA (Write-In)",1
"JEANINE PIERRO (Write-In)",1
"JEFFREY BACCH (Write-In)",1
"JEFFREY M. ALFANO (Write-In)",7
"JENNA RICCO (Write-In)",1
