,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Crossover - 
Democratic Party




Democratic President


Citywide


Vote for 1"
"3rd Congressional District"
"Queens County"
"Public Counter","12,158"
"Emergency",1
"Absentee/Military",469
"Federal",64
"Affidavit",162
"Total Ballots","12,854"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","12,854"
,
"Bernie Sanders","5,113"
"Hillary Clinton","7,524"
,
,
,
"Total Votes","12,637"
"Unrecorded",217

"Total for 3rd Congressional District"
"Public Counter","12,158"
"Emergency",1
"Absentee/Military",469
"Federal",64
"Affidavit",162
"Total Ballots","12,854"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","12,854"
,
"Bernie Sanders","5,113"
"Hillary Clinton","7,524"
,
,
,
"Total Votes","12,637"
"Unrecorded",217

"5th Congressional District"
"Queens County"
"Public Counter","72,832"
"Emergency",7
"Absentee/Military","1,689"
"Federal",128
"Affidavit","1,483"
"Total Ballots","76,139"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","76,139"
,
"Bernie Sanders","21,202"
"Hillary Clinton","54,158"
,
,
,
"Total Votes","75,360"
"Unrecorded",779

"Total for 5th Congressional District"
"Public Counter","72,832"
"Emergency",7
"Absentee/Military","1,689"
"Federal",128
"Affidavit","1,483"
"Total Ballots","76,139"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","76,139"
,
"Bernie Sanders","21,202"
"Hillary Clinton","54,158"
,
,
,
"Total Votes","75,360"
"Unrecorded",779

"6th Congressional District"
"Queens County"
"Public Counter","53,661"
"Emergency",0
"Absentee/Military","1,849"
"Federal",420
"Affidavit","1,082"
"Total Ballots","57,012"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","57,012"
,
"Bernie Sanders","24,026"
"Hillary Clinton","32,363"
,
,
,
"Total Votes","56,389"
"Unrecorded",623

"Total for 6th Congressional District"
"Public Counter","53,661"
"Emergency",0
"Absentee/Military","1,849"
"Federal",420
"Affidavit","1,082"
"Total Ballots","57,012"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","57,012"
,
"Bernie Sanders","24,026"
"Hillary Clinton","32,363"
,
,
,
"Total Votes","56,389"
"Unrecorded",623

"7th Congressional District"
"New York County"
"Public Counter","12,391"
"Emergency",0
"Absentee/Military",198
"Federal",45
"Affidavit",287
"Total Ballots","12,921"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","12,921"
,
"Bernie Sanders","4,872"
"Hillary Clinton","7,772"
,
,
,
"Total Votes","12,644"
"Unrecorded",277

"Kings County"
"Public Counter","60,813"
"Emergency",63
"Absentee/Military","1,293"
"Federal",280
"Affidavit","2,022"
"Total Ballots","64,471"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","64,471"
,
"Bernie Sanders","28,003"
"Hillary Clinton","35,975"
,
,
,
"Total Votes","63,978"
"Unrecorded",493

"Queens County"
"Public Counter","8,071"
"Emergency",0
"Absentee/Military",93
"Federal",25
"Affidavit",220
"Total Ballots","8,409"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","8,409"
,
"Bernie Sanders","4,025"
"Hillary Clinton","4,310"
,
,
,
"Total Votes","8,335"
"Unrecorded",74

"Total for 7th Congressional District"
"Public Counter","81,275"
"Emergency",63
"Absentee/Military","1,584"
"Federal",350
"Affidavit","2,529"
"Total Ballots","85,801"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","85,801"
,
"Bernie Sanders","36,900"
"Hillary Clinton","48,057"
,
,
,
"Total Votes","84,957"
"Unrecorded",844

"8th Congressional District"
"Kings County"
"Public Counter","91,183"
"Emergency",1
"Absentee/Military","1,502"
"Federal",141
"Affidavit","2,512"
"Total Ballots","95,339"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","95,339"
,
"Bernie Sanders","34,403"
"Hillary Clinton","59,981"
,
,
,
"Total Votes","94,384"
"Unrecorded",955

"Queens County"
"Public Counter","3,318"
"Emergency",0
"Absentee/Military",57
"Federal",12
"Affidavit",85
"Total Ballots","3,472"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,472"
,
"Bernie Sanders","1,541"
"Hillary Clinton","1,878"
,
,
,
"Total Votes","3,419"
"Unrecorded",53

"Total for 8th Congressional District"
"Public Counter","94,501"
"Emergency",1
"Absentee/Military","1,559"
"Federal",153
"Affidavit","2,597"
"Total Ballots","98,811"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","98,811"
,
"Bernie Sanders","35,944"
"Hillary Clinton","61,859"
,
,
,
"Total Votes","97,803"
"Unrecorded","1,008"

"9th Congressional District"
"Kings County"
"Public Counter","101,774"
"Emergency",1
"Absentee/Military","2,096"
"Federal",327
"Affidavit","2,633"
"Total Ballots","106,831"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","106,831"
,
"Bernie Sanders","38,505"
"Hillary Clinton","67,039"
,
,
,
"Total Votes","105,544"
"Unrecorded","1,287"

"Total for 9th Congressional District"
"Public Counter","101,774"
"Emergency",1
"Absentee/Military","2,096"
"Federal",327
"Affidavit","2,633"
"Total Ballots","106,831"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","106,831"
,
"Bernie Sanders","38,505"
"Hillary Clinton","67,039"
,
,
,
"Total Votes","105,544"
"Unrecorded","1,287"

"10th Congressional District"
"New York County"
"Public Counter","87,333"
"Emergency",16
"Absentee/Military","3,063"
"Federal","1,307"
"Affidavit","2,430"
"Total Ballots","94,149"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","94,149"
,
"Bernie Sanders","29,497"
"Hillary Clinton","63,944"
,
,
,
"Total Votes","93,441"
"Unrecorded",708

"Kings County"
"Public Counter","15,019"
"Emergency",0
"Absentee/Military",385
"Federal",75
"Affidavit",328
"Total Ballots","15,807"
