"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Public Counter",157
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Emergency",0
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Absentee/Military",3
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Federal",0
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Affidavit",3
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Carmen Hulbert (F) - Pledged to support Sanders",44
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Jonathan I. Fuhrer (M) - Pledged to support Sanders",33
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Traci-Ann Strickland (F) - Pledged to support Sanders",35
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Robert Dannin (M) - Pledged to support Sanders",38
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Rachel J. Bernstein (F) - Pledged to support Sanders",36
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Sean T. Robertson (M) - Pledged to support Sanders",35
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Jenny Low (F) - Pledged to support Clinton",65
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Martin Malave-Dilan (M) - Pledged to support Clinton",60
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Janet Forte (F) - Pledged to support Clinton",63
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Steven Cohn (M) - Pledged to support Clinton",68
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Cara Noel (F) - Pledged to support Clinton",58
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Edward Tyre (M) - Pledged to support Clinton",55
"65","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Nancy Padilla (F) - Pledged to support Clinton",82
"65","019","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Public Counter",171
"65","019","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Emergency",0
"65","019","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Absentee/Military",2
"65","019","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Federal",1
"65","019","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Affidavit",6
"65","019","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Carmen Hulbert (F) - Pledged to support Sanders",37
"65","019","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","07",7,"Jonathan I. Fuhrer (M) - Pledged to support Sanders",33
