,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Crossover - 
Democratic Party




Democratic Delegate to National Convention


8th Congressional District


Vote for 6"
"8th Congressional District"
"Kings County"
"Public Counter","91,183"
"Emergency",1
"Absentee/Military","1,502"
"Federal",141
"Affidavit","2,512"
"Total Ballots","95,339"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","95,339"
,
"Garleen St. Germain (F) - Pledged to support Sanders","29,246"
"Mark Winston Griffith (M) - Pledged to support Sanders","29,284"
"Jelani Mashariki (M) - Pledged to support Sanders","27,930"
"Debbie Tiamfook (F) - Pledged to support Sanders","29,257"
"Jeffrey Severe (M) - Pledged to support Sanders","27,244"
"Walter Mosley (M) - Pledged to support Clinton","52,413"
"Laurie Cumbo (F) - Pledged to support Clinton","50,896"
"Henry Butler (M) - Pledged to support Clinton","47,135"
"Melba Brown (F) - Pledged to support Clinton","50,959"
"Stanley Scutt (M) - Pledged to support Clinton","45,264"
"Nikki Lucas (F) - Pledged to support Clinton","47,844"
,
,
,
"Total Votes","437,472"
"Unrecorded","134,562"

"Queens County"
"Public Counter","3,318"
"Emergency",0
"Absentee/Military",57
"Federal",12
"Affidavit",85
"Total Ballots","3,472"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,472"
,
"Garleen St. Germain (F) - Pledged to support Sanders","1,142"
"Mark Winston Griffith (M) - Pledged to support Sanders","1,137"
"Jelani Mashariki (M) - Pledged to support Sanders","1,107"
"Debbie Tiamfook (F) - Pledged to support Sanders","1,152"
"Jeffrey Severe (M) - Pledged to support Sanders","1,095"
"Walter Mosley (M) - Pledged to support Clinton","1,481"
"Laurie Cumbo (F) - Pledged to support Clinton","1,548"
"Henry Butler (M) - Pledged to support Clinton","1,405"
"Melba Brown (F) - Pledged to support Clinton","1,453"
"Stanley Scutt (M) - Pledged to support Clinton","1,336"
"Nikki Lucas (F) - Pledged to support Clinton","1,462"
,
,
,
"Total Votes","14,318"
"Unrecorded","6,514"

"Total for Democratic Delegate to National Convention (8th Congressional District)"

"Public Counter","94,501"
"Emergency",1
"Absentee/Military","1,559"
"Federal",153
"Affidavit","2,597"
"Total Ballots","98,811"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","98,811"
,
"Garleen St. Germain (F) - Pledged to support Sanders","30,388"
"Mark Winston Griffith (M) - Pledged to support Sanders","30,421"
"Jelani Mashariki (M) - Pledged to support Sanders","29,037"
"Debbie Tiamfook (F) - Pledged to support Sanders","30,409"
"Jeffrey Severe (M) - Pledged to support Sanders","28,339"
"Walter Mosley (M) - Pledged to support Clinton","53,894"
"Laurie Cumbo (F) - Pledged to support Clinton","52,444"
"Henry Butler (M) - Pledged to support Clinton","48,540"
"Melba Brown (F) - Pledged to support Clinton","52,412"
"Stanley Scutt (M) - Pledged to support Clinton","46,600"
"Nikki Lucas (F) - Pledged to support Clinton","49,306"
,
,
,
"Total Votes","451,790"
"Unrecorded","141,076"

"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Canvassing Board","Canvassing Board"
"Page -1 of 1"
