,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


New York County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1"
"7th Congressional District"
"Assembly District 65"
"Public Counter","9,614"
"Emergency",0
"Absentee/Military",164
"Federal",44
"Affidavit",207
"Total Ballots","10,029"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","10,029.00"
,
"Bernie Sanders","3,868"
"Hillary Clinton","5,935"
,
,
,
"Total Votes","9,803"
"Unrecorded",226

"Assembly District 66"
"Public Counter",5
"Emergency",0
"Absentee/Military",0
"Federal",1
"Affidavit",0
"Total Ballots",6
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",6.00
,
"Bernie Sanders",1
"Hillary Clinton",5
,
,
,
"Total Votes",6
,

"Assembly District 74"
"Public Counter","2,772"
"Emergency",0
"Absentee/Military",34
"Federal",0
"Affidavit",80
"Total Ballots","2,886"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,886.00"
,
"Bernie Sanders","1,003"
"Hillary Clinton","1,832"
,
,
,
"Total Votes","2,835"
"Unrecorded",51

"Total for 7th Congressional District-New York County"
"Public Counter","12,391"
"Emergency",0
"Absentee/Military",198
"Federal",45
"Affidavit",287
"Total Ballots","12,921"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","12,921.00"
,
"Bernie Sanders","4,872"
"Hillary Clinton","7,772"
,
,
,
"Total Votes","12,644"
"Unrecorded",277

"10th Congressional District"
"Assembly District 65"
"Public Counter","4,406"
"Emergency",0
"Absentee/Military",99
"Federal",63
"Affidavit",184
"Total Ballots","4,752"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,752.00"
,
"Bernie Sanders","1,741"
"Hillary Clinton","2,976"
,
,
,
"Total Votes","4,717"
"Unrecorded",35

"Assembly District 66"
"Public Counter","17,242"
"Emergency",0
"Absentee/Military",707
"Federal",322
"Affidavit",477
"Total Ballots","18,748"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","18,748.00"
,
"Bernie Sanders","6,352"
"Hillary Clinton","12,279"
,
,
,
"Total Votes","18,631"
"Unrecorded",117

"Assembly District 67"
"Public Counter","27,714"
"Emergency",16
"Absentee/Military",955
"Federal",417
"Affidavit",740
"Total Ballots","29,842"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","29,842.00"
,
"Bernie Sanders","7,944"
"Hillary Clinton","21,666"
,
,
,
"Total Votes","29,610"
"Unrecorded",232

"Assembly District 69"
"Public Counter","24,940"
"Emergency",0
"Absentee/Military",804
"Federal",372
"Affidavit",645
"Total Ballots","26,761"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","26,761.00"
,
"Bernie Sanders","8,723"
"Hillary Clinton","17,812"
,
,
,
"Total Votes","26,535"
"Unrecorded",226

"Assembly District 70"
"Public Counter",337
"Emergency",0
"Absentee/Military",16
"Federal",15
"Affidavit",9
"Total Ballots",377
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",377.00
,
"Bernie Sanders",175
"Hillary Clinton",201
,
,
,
"Total Votes",376
"Unrecorded",1

"Assembly District 75"
"Public Counter","12,694"
"Emergency",0
"Absentee/Military",482
"Federal",118
"Affidavit",375
"Total Ballots","13,669"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","13,669.00"
,
"Bernie Sanders","4,562"
"Hillary Clinton","9,010"
,
,
,
"Total Votes","13,572"
"Unrecorded",97

"Total for 10th Congressional District-New York County"
"Public Counter","87,333"
"Emergency",16
"Absentee/Military","3,063"
"Federal","1,307"
"Affidavit","2,430"
"Total Ballots","94,149"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","94,149.00"
,
"Bernie Sanders","29,497"
"Hillary Clinton","63,944"
,
,
,
"Total Votes","93,441"
"Unrecorded",708

"12th Congressional District"
"Assembly District 65"
"Public Counter","3,251"
"Emergency",0
"Absentee/Military",59
"Federal",33
"Affidavit",103
"Total Ballots","3,446"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,446.00"
,
"Bernie Sanders","1,487"
"Hillary Clinton","1,913"
,
,
,
"Total Votes","3,400"
"Unrecorded",46

"Assembly District 66"
"Public Counter","8,035"
"Emergency",0
"Absentee/Military",260
"Federal",138
"Affidavit",247
"Total Ballots","8,680"
