,
"Statement and Return Report

for Certification



Federal Primary - 06/28/2016


New York County
 - 
Democratic Party




Democratic Representative in Congress


7th Congressional District


Vote for 1"
"Assembly District 65"
"Public Counter","3,385"
"Emergency",0
"Absentee/Military",64
"Federal",13
"Affidavit",18
"Total Ballots","3,480"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,480"
,
"Yungman F. Lee","1,940"
"Jeffrey M. Kurzon",263
"Nydia M. Velazquez","1,259"
"BERNIE SANDERS (Write-In)",1
"BRENT BURNS (Write-In)",1
"JENIFER RAJKUMER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",7
,
,
,
"Total Votes","3,472"
"Unrecorded",8

"Assembly District 66"
"Public Counter",0
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",0
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",0
,
"Yungman F. Lee",0
"Jeffrey M. Kurzon",0
"Nydia M. Velazquez",0
,
,
,
"Total Votes",0
,

"Assembly District 74"
"Public Counter",662
"Emergency",0
"Absentee/Military",14
"Federal",0
"Affidavit",7
"Total Ballots",683
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",683
,
"Yungman F. Lee",119
"Jeffrey M. Kurzon",62
"Nydia M. Velazquez",495
"ADRIANO ESPAILLAT (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",5
,
,
,
"Total Votes",682
"Unrecorded",1

"Total for Democratic Representative in Congress (7th Congressional District) - New York County"
"Public Counter","4,047"
"Emergency",0
"Absentee/Military",78
"Federal",13
"Affidavit",25
"Total Ballots","4,163"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,163"
,
"Yungman F. Lee","2,059"
"Jeffrey M. Kurzon",325
"Nydia M. Velazquez","1,754"
"ADRIANO ESPAILLAT (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"BRENT BURNS (Write-In)",1
"JENIFER RAJKUMER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",12
,
,
,
"Total Votes","4,154"
"Unrecorded",9


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
