,
"Statement and Return Report

for Certification



Federal Primary - 06/28/2016


New York County
 - 
Democratic Party




Democratic Representative in Congress


10th Congressional District


Vote for 1"
"Assembly District 65"
"Public Counter",779
"Emergency",0
"Absentee/Military",29
"Federal",25
"Affidavit",1
"Total Ballots",834
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",834
,
"Jerrold L. Nadler",713
"Mikhail Oliver Rosenberg",104
"BEN EPSTEIN (Write-In)",1
"FRANK SERPICO (Write-In)",1
"LIZ ABZUG (Write-In)",1
"MARK GREEN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
"YUMAN LI (Write-In)",1
"YUNG MAN LEE (Write-In)",2
,
,
,
"Total Votes",832
"Unrecorded",2

"Assembly District 66"
"Public Counter","4,348"
"Emergency",0
"Absentee/Military",184
"Federal",137
"Affidavit",10
"Total Ballots","4,679"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,679"
,
"Jerrold L. Nadler","4,451"
"Mikhail Oliver Rosenberg",208
"BRIAN HIGGINS (Write-In)",1
"CLYDE WILLIAMS (Write-In)",1
"LETITIA JAMES (Write-In)",1
"MICHAEL GURAL MAIELLO (Write-In)",1
"NATASHA GURAL MAIELLO (Write-In)",1
"SCOTT ROTH (Write-In)",1
"SEAN SWEENEY (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"YUNG MAN LEE (Write-In)",3
,
,
,
"Total Votes","4,672"
"Unrecorded",7

"Assembly District 67"
"Public Counter","8,885"
"Emergency",0
"Absentee/Military",319
"Federal",182
"Affidavit",20
"Total Ballots","9,406"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,406"
,
"Jerrold L. Nadler","8,686"
"Mikhail Oliver Rosenberg",679
"ADRIANO ESPAILLAT (Write-In)",1
"ALLEN N. ROSKOFF (Write-In)",1
"ARBEN BERISHA (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CLYDE WILLIAMS (Write-In)",2
"GERRY NADLER (Write-In)",1
"GUILLERMO LINARES (Write-In)",1
"JACOBS ROSENTHAL (Write-In)",1
"JAMES KEITH BROWN (Write-In)",1
"KEITH WRIGHT (Write-In)",1
"MICAH LASHER (Write-In)",1
"NATALIJA PAVLOVIC (Write-In)",1
"ROSS ALEXANDER LANVIN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
"YEHUDA LEVIN (Write-In)",1
,
,
,
"Total Votes","9,388"
"Unrecorded",18

"Assembly District 69"
"Public Counter","8,221"
"Emergency",0
"Absentee/Military",313
"Federal",136
"Affidavit",25
"Total Ballots","8,695"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","8,695"
,
"Jerrold L. Nadler","8,118"
"Mikhail Oliver Rosenberg",477
"ADAM CLAYTON POWELL (Write-In)",1
"ADRIANO ESPAILLAT (Write-In)",30
"ADRIANO ESPAILLOT (Write-In)",1
"ADRIANO ESPALLA (Write-In)",3
"ADRIANO ESPALLAIT (Write-In)",1
"ADRIANO ESPALLAT (Write-In)",4
"ADRIANO PAILLAIT (Write-In)",1
"ALTON H MADDOX (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"BERNIE SILVER (Write-In)",1
"CHARLIE HUTSON (Write-In)",1
"CLYDE WILIAMS (Write-In)",1
"CLYDE WILLIAMS (Write-In)",1
"ELIZABETH WARREN (Write-In)",2
"ESPOLLIATE ESPALLIATE ADRIAN (Write-In)",1
"GLEM A MARCHANT (Write-In)",1
"GUILLERMO LINARE (Write-In)",1
"GUILLERMO LINARES (Write-In)",2
"JERROLD L. ARDLER (Write-In)",1
"JULIA WILLEBRAND (Write-In)",1
"KEITH WRIGHT (Write-In)",11
"LEE C BOLLINGER (Write-In)",1
"MUHAIL ROSENBERG (Write-In)",1
"SUSAN J COOKE (Write-In)",1
"TIMOTHY BRENNAN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",10
"YASSIR ARAFAT (Write-In)",1
"ZEPHYR TEACHOUT (Write-In)",2
,
,
,
"Total Votes","8,679"
"Unrecorded",16

"Assembly District 70"
"Public Counter",91
"Emergency",0
"Absentee/Military",5
"Federal",5
"Affidavit",0
"Total Ballots",101
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",101
,
"Jerrold L. Nadler",93
"Mikhail Oliver Rosenberg",8
,
,
,
"Total Votes",101
,

"Assembly District 75"
"Public Counter","3,587"
"Emergency",0
"Absentee/Military",167
"Federal",48
"Affidavit",16
"Total Ballots","3,818"
"Less - Inapplicable Federal/Special Presidential Ballots",0
