,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


New York County
 - 
Democratic Party




Democratic State Senator


31st Senatorial District


Vote for 1"
"Assembly District 67"
"Public Counter","3,499"
"Emergency",0
"Absentee/Military",110
"Affidavit",17
"Total Ballots","3,626"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,626"
,
"Robert Jackson",694
"Marisol Alcantara",241
"Micah Lasher","2,572"
"Luis Tejada",59
"ARBEN BERISHA (Write-In)",2
"BERNIE SANDERS (Write-In)",1
"DANIEL TAMHIR (Write-In)",1
"ETHAN V. FINNERAN (Write-In)",1
"LISA PIKE (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"WILLIAM LEITOLD (Write-In)",1
,
,
,
"Total Votes","3,574"
"Unrecorded",52

"Assembly District 69"
"Public Counter","4,679"
"Emergency",0
"Absentee/Military",141
"Affidavit",20
"Total Ballots","4,840"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,840"
,
"Robert Jackson",947
"Marisol Alcantara",337
"Micah Lasher","3,434"
"Luis Tejada",58
"ADRIANO ESPAILLAT (Write-In)",1
"PETER FOSTER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"WILLIAM DONATI (Write-In)",1
,
,
,
"Total Votes","4,781"
"Unrecorded",59

"Assembly District 70"
"Public Counter","1,455"
"Emergency",0
"Absentee/Military",39
"Affidavit",6
"Total Ballots","1,500"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,500"
,
"Robert Jackson",541
"Marisol Alcantara",687
"Micah Lasher",89
"Luis Tejada",173
"ADRIANO ESPAILLAT (Write-In)",1
"CARL PICCARRETA (Write-In)",1
"JULIA WILLEBRAND (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
,
,
,
"Total Votes","1,495"
"Unrecorded",5

"Assembly District 71"
"Public Counter","6,641"
"Emergency",0
"Absentee/Military",179
"Affidavit",53
"Total Ballots","6,873"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,873"
,
"Robert Jackson","3,193"
"Marisol Alcantara","2,042"
"Micah Lasher","1,004"
"Luis Tejada",597
"ADRIANO ESPAILLAT (Write-In)",1
"CRISPUS ATTUCKS (Write-In)",1
"GILLERMO LINARES (Write-In)",1
"GUILLERMO LINARES (Write-In)",1
"HILLARY CLINTON (Write-In)",1
"J. WILLARD BERAD (Write-In)",1
"NIAWA SILVER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",6
,
,
,
"Total Votes","6,850"
"Unrecorded",23

"Assembly District 72"
"Public Counter","9,516"
"Emergency",1
"Absentee/Military",158
"Affidavit",55
"Total Ballots","9,730"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,730"
,
"Robert Jackson","2,528"
"Marisol Alcantara","5,149"
"Micah Lasher","1,059"
"Luis Tejada",426
"KARL MARX (Write-In)",1
"SARA NICCOLI (Write-In)",1
"SIMON MORALES (Write-In)",1
"TONY KAMNHEISER (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",5
,
,
,
"Total Votes","9,171"
"Unrecorded",559

"Assembly District 75"
"Public Counter",67
"Emergency",0
"Absentee/Military",5
"Affidavit",1
"Total Ballots",73
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",73
,
"Robert Jackson",33
"Marisol Alcantara",13
"Micah Lasher",17
"Luis Tejada",3
,
,
,
"Total Votes",66
"Unrecorded",7

"Total for Democratic State Senator (31st Senatorial District) - New York County"
"Public Counter","25,857"
"Emergency",1
"Absentee/Military",632
"Affidavit",152
"Total Ballots","26,642"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","26,642"
,
"Robert Jackson","7,936"
"Marisol Alcantara","8,469"
"Micah Lasher","8,175"
"Luis Tejada","1,316"
"ADRIANO ESPAILLAT (Write-In)",3
"ARBEN BERISHA (Write-In)",2
"BERNIE SANDERS (Write-In)",1
"CARL PICCARRETA (Write-In)",1
"CRISPUS ATTUCKS (Write-In)",1
"DANIEL TAMHIR (Write-In)",1
"ETHAN V. FINNERAN (Write-In)",1
"GILLERMO LINARES (Write-In)",1
"GUILLERMO LINARES (Write-In)",1
"HILLARY CLINTON (Write-In)",1
"J. WILLARD BERAD (Write-In)",1
"JULIA WILLEBRAND (Write-In)",1
"KARL MARX (Write-In)",1
"LISA PIKE (Write-In)",1
"NIAWA SILVER (Write-In)",1
"PETER FOSTER (Write-In)",1
"SARA NICCOLI (Write-In)",1
"SIMON MORALES (Write-In)",1
"TONY KAMNHEISER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",15
"WILLIAM DONATI (Write-In)",1
"WILLIAM LEITOLD (Write-In)",1
,
,
,
"Total Votes","25,937"
"Unrecorded",705


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
