,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


New York County
 - 
Democratic Party




Democratic Member of the Assembly


66th Assembly District


Vote for 1"
"Assembly District 66"
"Public Counter","4,047"
"Emergency",0
"Absentee/Military",254
"Affidavit",11
"Total Ballots","4,312"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,312"
,
"Deborah J. Glick","3,383"
"Jim Fouratt",835
"ALICE CANCEL (Write-In)",2
"ANDY HAMILTON (Write-In)",1
"ARTHUR SCHWARTZ (Write-In)",1
"BO DIETE (Write-In)",1
"CHRISTOPHER MARTE (Write-In)",1
"DONALD TRUMP (Write-In)",1
"EDWARD HEIM (Write-In)",1
"PATRICK EGAN (Write-In)",1
"PAUL NEWELL (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
,
,
,
"Total Votes","4,230"
"Unrecorded",82

"Total for Democratic Member of the Assembly (66th Assembly District) - New York County"
"Public Counter","4,047"
"Emergency",0
"Absentee/Military",254
"Affidavit",11
"Total Ballots","4,312"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,312"
,
"Deborah J. Glick","3,383"
"Jim Fouratt",835
"ALICE CANCEL (Write-In)",2
"ANDY HAMILTON (Write-In)",1
"ARTHUR SCHWARTZ (Write-In)",1
"BO DIETE (Write-In)",1
"CHRISTOPHER MARTE (Write-In)",1
"DONALD TRUMP (Write-In)",1
"EDWARD HEIM (Write-In)",1
"PATRICK EGAN (Write-In)",1
"PAUL NEWELL (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
,
,
,
"Total Votes","4,230"
"Unrecorded",82


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
