,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


New York County
 - 
Democratic Party




Democratic Member of the Assembly


72nd Assembly District


Vote for 1"
"Assembly District 72"
"Public Counter","9,554"
"Emergency",1
"Absentee/Military",162
"Affidavit",55
"Total Ballots","9,772"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,772"
,
"George Fernandez",808
"Carmen N. De La Rosa","4,485"
"Guillermo Linares","3,194"
"ADAM C. POWELL JR. (Write-In)",1
"ANTHONY EVANS (Write-In)",1
"DAVID ALDRIDGE (Write-In)",1
"HOOMAN JALILI (Write-In)",1
"JASON ROSEN BURGER (Write-In)",1
"JOHN BURKE (Write-In)",1
"LARRY JOHNSON (Write-In)",1
"MANNY DE LOS SANTOS (Write-In)",5
"MICAH LASHER (Write-In)",1
"ROBERT JACKSON (Write-In)",1
"RUTH FREEMAN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",8
"YUDELKA VALDEZ (Write-In)",1
,
,
,
"Total Votes","8,511"
"Unrecorded","1,261"

"Total for Democratic Member of the Assembly (72nd Assembly District) - New York County"
"Public Counter","9,554"
"Emergency",1
"Absentee/Military",162
"Affidavit",55
"Total Ballots","9,772"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,772"
,
"George Fernandez",808
"Carmen N. De La Rosa","4,485"
"Guillermo Linares","3,194"
"ADAM C. POWELL JR. (Write-In)",1
"ANTHONY EVANS (Write-In)",1
"DAVID ALDRIDGE (Write-In)",1
"HOOMAN JALILI (Write-In)",1
"JASON ROSEN BURGER (Write-In)",1
"JOHN BURKE (Write-In)",1
"LARRY JOHNSON (Write-In)",1
"MANNY DE LOS SANTOS (Write-In)",5
"MICAH LASHER (Write-In)",1
"ROBERT JACKSON (Write-In)",1
"RUTH FREEMAN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",8
"YUDELKA VALDEZ (Write-In)",1
,
,
,
"Total Votes","8,511"
"Unrecorded","1,261"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
