"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"68","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Public Counter",71
"68","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Emergency",0
"68","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Absentee/Military",2
"68","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Affidavit",0
"68","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Susan F. Avery",47
"68","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Sabrina B. Kraus",23
"68","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Scattered",2
"68","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Public Counter",75
"68","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Emergency",0
"68","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Absentee/Military",2
"68","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Affidavit",0
"68","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Susan F. Avery",55
"68","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Sabrina B. Kraus",15
"68","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Public Counter",24
"68","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Emergency",0
"68","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Absentee/Military",4
"68","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Affidavit",0
"68","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Susan F. Avery",17
"68","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Sabrina B. Kraus",11
"68","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Public Counter",49
"68","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Emergency",0
"68","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Absentee/Military",0
"68","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Affidavit",0
"68","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Susan F. Avery",20
"68","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Sabrina B. Kraus",25
"68","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Scattered",2
"68","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Public Counter",27
"68","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Emergency",0
"68","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Absentee/Military",1
"68","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Affidavit",0
"68","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Susan F. Avery",9
"68","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Sabrina B. Kraus",18
"68","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Public Counter",15
"68","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Emergency",0
"68","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Absentee/Military",7
"68","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Affidavit",0
"68","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Susan F. Avery",6
"68","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Sabrina B. Kraus",15
"68","011","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Public Counter",26
"68","011","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Emergency",0
"68","011","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Absentee/Military",2
"68","011","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Affidavit",1
"68","011","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Susan F. Avery",12
"68","011","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Sabrina B. Kraus",15
"68","012","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Public Counter",23
"68","012","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Emergency",0
"68","012","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Absentee/Military",2
"68","012","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Affidavit",0
"68","012","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Susan F. Avery",13
"68","012","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Sabrina B. Kraus",10
"68","013","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1006",1,"Public Counter",8
