,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


New York County
 - 
Democratic Party




Democratic Judge of the Civil Court - District


6th Municipal Court District - New York


Vote for 1"
"Assembly District 68"
"Public Counter","1,830"
"Emergency",0
"Absentee/Military",128
"Affidavit",9
"Total Ballots","1,967"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,967"
,
"Susan F. Avery",935
"Sabrina B. Kraus",902
"ALTON MADDOX (Write-In)",1
"ANTONIO JOHNSON (Write-In)",1
"JUGDE MERRICK (Write-In)",1
"PATRICK J. FLYNN (Write-In)",1
"RAFAEL L. HERNANDEZ (Write-In)",1
"SEYMOND FIRDMAN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",9
,
,
,
"Total Votes","1,852"
"Unrecorded",115

"Assembly District 73"
"Public Counter",853
"Emergency",0
"Absentee/Military",77
"Affidavit",1
"Total Ballots",931
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",931
,
"Susan F. Avery",362
"Sabrina B. Kraus",537
"DARRYL VERNON (Write-In)",1
"DON LEE (Write-In)",1
"HENRY CHAN (Write-In)",1
"MATT CORMACK (Write-In)",1
"MITCHELL TENZER (Write-In)",1
"RICHARD LAVIN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes",908
"Unrecorded",23

"Assembly District 76"
"Public Counter","3,015"
"Emergency",0
"Absentee/Military",168
"Affidavit",15
"Total Ballots","3,198"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,198"
,
"Susan F. Avery","1,253"
"Sabrina B. Kraus","1,772"
"CHRISTOPHER REGAN (Write-In)",1
"ED POTTER (Write-In)",1
"FELIX FRANK FURTES (Write-In)",1
"JONATHAN KOSTAKOPOULOS (Write-In)",2
"JUSTIN RAMIREZ (Write-In)",1
"PATRICIA L. GATTING (Write-In)",1
"SUSAN M. CAMPBELL (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","3,037"
"Unrecorded",161

"Total for Democratic Judge of the Civil Court - District (6th Municipal Court District - New York) - New York County"
"Public Counter","5,698"
"Emergency",0
"Absentee/Military",373
"Affidavit",25
"Total Ballots","6,096"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,096"
,
"Susan F. Avery","2,550"
"Sabrina B. Kraus","3,211"
"ALTON MADDOX (Write-In)",1
"ANTONIO JOHNSON (Write-In)",1
"CHRISTOPHER REGAN (Write-In)",1
"DARRYL VERNON (Write-In)",1
"DON LEE (Write-In)",1
"ED POTTER (Write-In)",1
"FELIX FRANK FURTES (Write-In)",1
"HENRY CHAN (Write-In)",1
"JONATHAN KOSTAKOPOULOS (Write-In)",2
"JUGDE MERRICK (Write-In)",1
"JUSTIN RAMIREZ (Write-In)",1
"MATT CORMACK (Write-In)",1
"MITCHELL TENZER (Write-In)",1
"PATRICIA L. GATTING (Write-In)",1
"PATRICK J. FLYNN (Write-In)",1
"RAFAEL L. HERNANDEZ (Write-In)",1
"RICHARD LAVIN (Write-In)",1
"SEYMOND FIRDMAN (Write-In)",1
"SUSAN M. CAMPBELL (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",15
,
,
,
"Total Votes","5,797"
"Unrecorded",299


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
