"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"65","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Public Counter",17
"65","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Emergency",0
"65","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Absentee/Military",1
"65","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Affidavit",0
"65","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Dodge P. Landesman",3
"65","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Christopher Marte",4
"65","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Lee S. Berman",5
"65","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Scattered",1
"65","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Public Counter",62
"65","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Emergency",0
"65","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Absentee/Military",0
"65","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Affidavit",1
"65","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Dodge P. Landesman",14
"65","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Christopher Marte",17
"65","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Lee S. Berman",11
"65","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Scattered",2
"65","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Public Counter",31
"65","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Emergency",0
"65","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Absentee/Military",0
"65","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Affidavit",0
"65","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Dodge P. Landesman",13
"65","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Christopher Marte",2
"65","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Lee S. Berman",8
"65","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Public Counter",19
"65","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Emergency",0
"65","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Absentee/Military",1
"65","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Affidavit",0
"65","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Dodge P. Landesman",4
"65","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Christopher Marte",6
"65","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Lee S. Berman",6
"65","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Scattered",1
"65","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Public Counter",72
"65","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Emergency",0
"65","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Absentee/Military",0
"65","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Affidavit",0
"65","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Dodge P. Landesman",21
"65","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Christopher Marte",9
"65","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Lee S. Berman",22
"65","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Scattered",1
"65","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Public Counter",104
"65","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Emergency",0
"65","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","65",1,"Absentee/Military",0
