,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


New York County
 - 
Democratic Party




Democratic Male State Committee


65th Assembly District


Vote for 1"
"Assembly District 65"
"Public Counter","8,692"
"Emergency",0
"Absentee/Military",211
"Affidavit",46
"Total Ballots","8,949"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","8,949"
,
"Dodge P. Landesman","1,836"
"Christopher Marte","2,069"
"Lee S. Berman","2,264"
"ADAM S. DEUTECHER (Write-In)",1
"ADOLF HITLER (Write-In)",1
"ALAN J GERSON (Write-In)",1
"ALFRED SHARPTON (Write-In)",1
"ALICE CANCEL (Write-In)",1
"BENJAMIN YEE (Write-In)",1
"CHRISTINA WHITE (Write-In)",1
"CHRISTINE RHODES (Write-In)",1
"CLAYTON PATTERSON (Write-In)",1
"DALLAS J. SHORT (Write-In)",1
"DAN SCHARTZ (Write-In)",1
"DAVID ARONSAN (Write-In)",1
"DAX ARNOLD (Write-In)",1
"DENNIS JAMIEGOH (Write-In)",1
"DONALD TRUMP (Write-In)",1
"DONALD WEIGEL (Write-In)",1
"EMMA CULBERT (Write-In)",2
"GEORGETTE FLEISHER (Write-In)",1
"HILDA BIERSMA (Write-In)",1
"IVAN ACOSTA (Write-In)",1
"JACOB VANDERLINDEN (Write-In)",1
"JAMES NEVIN (Write-In)",1
"JENIFER RAJKUMAR (Write-In)",1
"JOHN MATTORRI (Write-In)",1
"JOSEPH MIRISOLA (Write-In)",1
"KARLIN CHAH (Write-In)",1
"KRISTIE HAT (Write-In)",1
"LARYSSA SHAINBERG (Write-In)",1
"MARIAN TOY (Write-In)",1
"MARISOL ALCANTARA (Write-In)",1
"MARK GREEN (Write-In)",2
"MEGHAN JOYE (Write-In)",1
"MOHAMED OURAIS (Write-In)",1
"MORRIS M. COHEN (Write-In)",1
"NATALIE LEWINSKY (Write-In)",1
"NICOLE FONAROW (Write-In)",1
"NILS LENNARTSON (Write-In)",1
"PAUL E NEWHAM (Write-In)",1
"PAUL NEWELL (Write-In)",2
"PAULINE M. DEVITA (Write-In)",1
"RIK MAYALL (Write-In)",1
"ROBERT E. CRUZ (Write-In)",1
"ROBERT MORTON (Write-In)",1
"ROBIN FORST (Write-In)",1
"RON A MILLER (Write-In)",1
"RYAN CHAN (Write-In)",1
"SETH RUBIN (Write-In)",1
"SEYMOUR WINICK (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",26
"WILLIAM SKILLMAN (Write-In)",1
"WILLIAM WIESEN (Write-In)",1
"YUH-LINE NIOU (Write-In)",1
,
,
,
"Total Votes","6,250"
"Unrecorded","2,699"

"Total for Democratic Male State Committee (65th Assembly District) - New York County"
"Public Counter","8,692"
"Emergency",0
"Absentee/Military",211
"Affidavit",46
"Total Ballots","8,949"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","8,949"
,
"Dodge P. Landesman","1,836"
"Christopher Marte","2,069"
"Lee S. Berman","2,264"
"ADAM S. DEUTECHER (Write-In)",1
"ADOLF HITLER (Write-In)",1
"ALAN J GERSON (Write-In)",1
"ALFRED SHARPTON (Write-In)",1
"ALICE CANCEL (Write-In)",1
"BENJAMIN YEE (Write-In)",1
"CHRISTINA WHITE (Write-In)",1
"CHRISTINE RHODES (Write-In)",1
"CLAYTON PATTERSON (Write-In)",1
"DALLAS J. SHORT (Write-In)",1
"DAN SCHARTZ (Write-In)",1
"DAVID ARONSAN (Write-In)",1
"DAX ARNOLD (Write-In)",1
"DENNIS JAMIEGOH (Write-In)",1
"DONALD TRUMP (Write-In)",1
"DONALD WEIGEL (Write-In)",1
"EMMA CULBERT (Write-In)",2
"GEORGETTE FLEISHER (Write-In)",1
"HILDA BIERSMA (Write-In)",1
"IVAN ACOSTA (Write-In)",1
"JACOB VANDERLINDEN (Write-In)",1
"JAMES NEVIN (Write-In)",1
"JENIFER RAJKUMAR (Write-In)",1
"JOHN MATTORRI (Write-In)",1
"JOSEPH MIRISOLA (Write-In)",1
"KARLIN CHAH (Write-In)",1
"KRISTIE HAT (Write-In)",1
"LARYSSA SHAINBERG (Write-In)",1
"MARIAN TOY (Write-In)",1
"MARISOL ALCANTARA (Write-In)",1
"MARK GREEN (Write-In)",2
"MEGHAN JOYE (Write-In)",1
"MOHAMED OURAIS (Write-In)",1
"MORRIS M. COHEN (Write-In)",1
"NATALIE LEWINSKY (Write-In)",1
"NICOLE FONAROW (Write-In)",1
"NILS LENNARTSON (Write-In)",1
"PAUL E NEWHAM (Write-In)",1
"PAUL NEWELL (Write-In)",2
"PAULINE M. DEVITA (Write-In)",1
"RIK MAYALL (Write-In)",1
"ROBERT E. CRUZ (Write-In)",1
"ROBERT MORTON (Write-In)",1
"ROBIN FORST (Write-In)",1
"RON A MILLER (Write-In)",1
"RYAN CHAN (Write-In)",1
"SETH RUBIN (Write-In)",1
"SEYMOUR WINICK (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",26
"WILLIAM SKILLMAN (Write-In)",1
"WILLIAM WIESEN (Write-In)",1
"YUH-LINE NIOU (Write-In)",1
,
,
,
"Total Votes","6,250"
"Unrecorded","2,699"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
