,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


New York County
 - 
Democratic Party




Democratic Male State Committee


69th Assembly District


Vote for 1"
"Assembly District 69"
"Public Counter","9,501"
"Emergency",15
"Absentee/Military",343
"Affidavit",43
"Total Ballots","9,902"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,902"
,
"Daniel M. Cohen","5,389"
"Thomas Lopez-Pierre","2,151"
"AL SHARPTON (Write-In)",1
"ALAN FLACKS (Write-In)",1
"ANTHONY WEINER (Write-In)",1
"ARTIS KLAVINS (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BOBBY MORI (Write-In)",1
"BRENNAN DELANEY (Write-In)",1
"BRIAN MICHEAL LEHACH (Write-In)",1
"CHARLES GONZALEZ (Write-In)",1
"DANIEL POLIN (Write-In)",1
"DARA HARRIS (Write-In)",1
"DAVID C. ISAACS (Write-In)",1
"DAVID LIPSIG (Write-In)",1
"DAVID POEL (Write-In)",1
"ELLEN DENARO (Write-In)",1
"ERICK MYSSURA (Write-In)",1
"ERNEST SMART (Write-In)",1
"GILBERT MENDOZA (Write-In)",1
"HARRY REAVES (Write-In)",1
"HENRY FILOSA (Write-In)",1
"JACQUELINE CAROL THOMPSON (Write-In)",1
"JEM ARROWSMITH (Write-In)",1
"JILL STEIN (Write-In)",1
"JIM STACK (Write-In)",1
"JOSEPH A FIORDALISO (Write-In)",1
"KARL MARX (Write-In)",1
"KARL SHARMAN (Write-In)",1
"KEITH WRIGHT (Write-In)",1
"LANDON WICKHAM (Write-In)",1
"LUIS TEJADA (Write-In)",2
"MARISOL ALCANTARA (Write-In)",6
"MARISOL SALDANA (Write-In)",1
"MARY COX (Write-In)",1
"MATTHEW TRAINER (Write-In)",2
"MICAH BOWELS (Write-In)",1
"MICAH LASHER (Write-In)",3
"NOAM CHOMSKY (Write-In)",1
"PAUL SHNEYER (Write-In)",1
"RAYMOND WONG (Write-In)",2
"RICHARD ENGEL (Write-In)",1
"ROBERT GREENWALT (Write-In)",1
"ROBERT JACKSON (Write-In)",3
"RYAN MOORE (Write-In)",1
"SALVADOR SANTIAGO (Write-In)",1
"SARA KLIGER (Write-In)",1
"THOMAS JEFFERSON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",16
"VINCENT DOUGHERBY (Write-In)",1
"WILLIAM DENATI (Write-In)",1
"WOLF HERTZBERG (Write-In)",2
,
,
,
"Total Votes","7,621"
"Unrecorded","2,281"

"Total for Democratic Male State Committee (69th Assembly District) - New York County"
"Public Counter","9,501"
"Emergency",15
"Absentee/Military",343
"Affidavit",43
"Total Ballots","9,902"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,902"
,
"Daniel M. Cohen","5,389"
"Thomas Lopez-Pierre","2,151"
"AL SHARPTON (Write-In)",1
"ALAN FLACKS (Write-In)",1
"ANTHONY WEINER (Write-In)",1
"ARTIS KLAVINS (Write-In)",1
"BERNIE SANDERS (Write-In)",2
"BOBBY MORI (Write-In)",1
"BRENNAN DELANEY (Write-In)",1
"BRIAN MICHEAL LEHACH (Write-In)",1
"CHARLES GONZALEZ (Write-In)",1
"DANIEL POLIN (Write-In)",1
"DARA HARRIS (Write-In)",1
"DAVID C. ISAACS (Write-In)",1
"DAVID LIPSIG (Write-In)",1
"DAVID POEL (Write-In)",1
"ELLEN DENARO (Write-In)",1
"ERICK MYSSURA (Write-In)",1
"ERNEST SMART (Write-In)",1
"GILBERT MENDOZA (Write-In)",1
"HARRY REAVES (Write-In)",1
"HENRY FILOSA (Write-In)",1
"JACQUELINE CAROL THOMPSON (Write-In)",1
"JEM ARROWSMITH (Write-In)",1
"JILL STEIN (Write-In)",1
"JIM STACK (Write-In)",1
"JOSEPH A FIORDALISO (Write-In)",1
"KARL MARX (Write-In)",1
"KARL SHARMAN (Write-In)",1
"KEITH WRIGHT (Write-In)",1
"LANDON WICKHAM (Write-In)",1
"LUIS TEJADA (Write-In)",2
"MARISOL ALCANTARA (Write-In)",6
"MARISOL SALDANA (Write-In)",1
"MARY COX (Write-In)",1
"MATTHEW TRAINER (Write-In)",2
"MICAH BOWELS (Write-In)",1
"MICAH LASHER (Write-In)",3
"NOAM CHOMSKY (Write-In)",1
"PAUL SHNEYER (Write-In)",1
"RAYMOND WONG (Write-In)",2
"RICHARD ENGEL (Write-In)",1
"ROBERT GREENWALT (Write-In)",1
"ROBERT JACKSON (Write-In)",3
"RYAN MOORE (Write-In)",1
"SALVADOR SANTIAGO (Write-In)",1
"SARA KLIGER (Write-In)",1
"THOMAS JEFFERSON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",16
"VINCENT DOUGHERBY (Write-In)",1
"WILLIAM DENATI (Write-In)",1
"WOLF HERTZBERG (Write-In)",2
,
,
,
"Total Votes","7,621"
"Unrecorded","2,281"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
