"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"72","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Public Counter",38
"72","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Emergency",0
"72","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Absentee/Military",4
"72","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Affidavit",0
"72","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Julio Peguero",6
"72","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Manny De Los Santos",13
"72","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Ting Barrow",16
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Public Counter",158
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Emergency",0
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Absentee/Military",4
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Affidavit",1
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Julio Peguero",28
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Manny De Los Santos",44
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Ting Barrow",14
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Scattered",1
"72","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Public Counter",123
"72","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Emergency",0
"72","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Absentee/Military",0
"72","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Affidavit",0
"72","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Julio Peguero",20
"72","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Manny De Los Santos",50
"72","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Ting Barrow",8
"72","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Public Counter",91
"72","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Emergency",0
"72","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Absentee/Military",6
"72","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Affidavit",1
"72","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Julio Peguero",15
"72","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Manny De Los Santos",32
"72","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Ting Barrow",10
"72","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Public Counter",103
"72","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Emergency",0
"72","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Absentee/Military",3
"72","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Affidavit",1
"72","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Julio Peguero",22
"72","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Manny De Los Santos",45
"72","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Ting Barrow",2
"72","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Public Counter",100
"72","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Emergency",0
"72","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Absentee/Military",0
"72","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Affidavit",3
"72","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Julio Peguero",20
"72","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Manny De Los Santos",43
"72","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Ting Barrow",3
"72","007","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Public Counter",99
"72","007","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Emergency",0
"72","007","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Absentee/Military",2
"72","007","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Affidavit",0
"72","007","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Julio Peguero",11
"72","007","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Manny De Los Santos",43
"72","007","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Ting Barrow",1
"72","008","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","72",1,"Public Counter",56
