,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


New York County
 - 
Democratic Party




Democratic Male State Committee


72nd Assembly District


Vote for 1"
"Assembly District 72"
"Public Counter","9,554"
"Emergency",1
"Absentee/Military",162
"Affidavit",55
"Total Ballots","9,772"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,772"
,
"Julio Peguero","1,274"
"Manny De Los Santos","3,931"
"Ting Barrow","1,323"
"ADRIANO ESPAILLAT (Write-In)",1
"ALISTAIR WALLACE (Write-In)",1
"DANIEL LIPSMAN (Write-In)",1
"DAVID BRODHERSON (Write-In)",1
"GARY BRAUN (Write-In)",1
"GEORGE ESPINAL (Write-In)",1
"JAMES ADDISS (Write-In)",1
"JASON ROSEN BURGER (Write-In)",1
"JOHN BURKE (Write-In)",1
"JOHN EMMANUEL (Write-In)",1
"KEITH WRIGHT (Write-In)",1
"LARRY JOHNSON (Write-In)",1
"MICHAEL MOFFITI (Write-In)",1
"RONALD L. LEWIS MCCOY (Write-In)",1
"SUSIE OLIVA (Write-In)",1
"TROY OUTLAW (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",6
,
,
,
"Total Votes","6,550"
"Unrecorded","3,222"

"Total for Democratic Male State Committee (72nd Assembly District) - New York County"
"Public Counter","9,554"
"Emergency",1
"Absentee/Military",162
"Affidavit",55
"Total Ballots","9,772"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,772"
,
"Julio Peguero","1,274"
"Manny De Los Santos","3,931"
"Ting Barrow","1,323"
"ADRIANO ESPAILLAT (Write-In)",1
"ALISTAIR WALLACE (Write-In)",1
"DANIEL LIPSMAN (Write-In)",1
"DAVID BRODHERSON (Write-In)",1
"GARY BRAUN (Write-In)",1
"GEORGE ESPINAL (Write-In)",1
"JAMES ADDISS (Write-In)",1
"JASON ROSEN BURGER (Write-In)",1
"JOHN BURKE (Write-In)",1
"JOHN EMMANUEL (Write-In)",1
"KEITH WRIGHT (Write-In)",1
"LARRY JOHNSON (Write-In)",1
"MICHAEL MOFFITI (Write-In)",1
"RONALD L. LEWIS MCCOY (Write-In)",1
"SUSIE OLIVA (Write-In)",1
"TROY OUTLAW (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",6
,
,
,
"Total Votes","6,550"
"Unrecorded","3,222"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
