"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"72","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Public Counter",38
"72","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Emergency",0
"72","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Absentee/Military",4
"72","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Affidavit",0
"72","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Argentina Cruz",7
"72","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Nayma Silver",10
"72","001","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Maria Rodriguez",19
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Public Counter",158
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Emergency",0
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Absentee/Military",4
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Affidavit",1
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Argentina Cruz",21
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Nayma Silver",21
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Maria Rodriguez",48
"72","002","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Scattered",1
"72","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Public Counter",123
"72","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Emergency",0
"72","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Absentee/Military",0
"72","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Affidavit",0
"72","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Argentina Cruz",24
"72","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Nayma Silver",13
"72","003","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Maria Rodriguez",40
"72","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Public Counter",91
"72","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Emergency",0
"72","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Absentee/Military",6
"72","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Affidavit",1
"72","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Argentina Cruz",14
"72","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Nayma Silver",15
"72","004","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Maria Rodriguez",33
"72","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Public Counter",103
"72","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Emergency",0
"72","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Absentee/Military",3
"72","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Affidavit",1
"72","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Argentina Cruz",10
"72","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Nayma Silver",12
"72","005","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Maria Rodriguez",51
"72","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Public Counter",100
"72","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Emergency",0
"72","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Absentee/Military",0
"72","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Affidavit",3
"72","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Argentina Cruz",15
"72","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Nayma Silver",13
"72","006","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Maria Rodriguez",34
"72","007","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Public Counter",99
"72","007","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Emergency",0
"72","007","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Absentee/Military",2
"72","007","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Affidavit",0
"72","007","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Argentina Cruz",7
"72","007","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Nayma Silver",22
"72","007","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Maria Rodriguez",29
"72","008","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Public Counter",56
"72","008","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Emergency",0
"72","008","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Absentee/Military",2
"72","008","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Affidavit",0
"72","008","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Argentina Cruz",5
"72","008","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Nayma Silver",7
"72","008","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Maria Rodriguez",19
"72","008","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Scattered",1
"72","009","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Public Counter",108
"72","009","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Emergency",0
"72","009","New York","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","72",1,"Absentee/Military",0
