,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


New York County
 - 
Democratic Party




Democratic Female State Committee


72nd Assembly District


Vote for 1"
"Assembly District 72"
"Public Counter","9,554"
"Emergency",1
"Absentee/Military",162
"Affidavit",55
"Total Ballots","9,772"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,772"
,
"Argentina Cruz","1,122"
"Nayma Silver","2,196"
"Maria Rodriguez","2,751"
"ADAM C. POWELL JR. (Write-In)",1
"ALEXANDRA ANDERSON (Write-In)",1
"CARLA ZANONI (Write-In)",1
"CAROLINE GOLDRICK (Write-In)",1
"ELIZABETH LORIS RITTEN (Write-In)",1
"GAIL ADDISS (Write-In)",1
"GILLERMO LINARES (Write-In)",1
"JEAN MCMANUS (Write-In)",1
"JOAN MITCHELL (Write-In)",1
"JUDITH AMARO (Write-In)",2
"KIMBERLY DILLON (Write-In)",1
"MAGGIE CLARK (Write-In)",1
"OSNAC KAMINER (Write-In)",1
"PAOLA RUIZ (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",8
"VALERIE GO'HARA (Write-In)",1
,
,
,
"Total Votes","6,094"
"Unrecorded","3,678"

"Total for Democratic Female State Committee (72nd Assembly District) - New York County"
"Public Counter","9,554"
"Emergency",1
"Absentee/Military",162
"Affidavit",55
"Total Ballots","9,772"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,772"
,
"Argentina Cruz","1,122"
"Nayma Silver","2,196"
"Maria Rodriguez","2,751"
"ADAM C. POWELL JR. (Write-In)",1
"ALEXANDRA ANDERSON (Write-In)",1
"CARLA ZANONI (Write-In)",1
"CAROLINE GOLDRICK (Write-In)",1
"ELIZABETH LORIS RITTEN (Write-In)",1
"GAIL ADDISS (Write-In)",1
"GILLERMO LINARES (Write-In)",1
"JEAN MCMANUS (Write-In)",1
"JOAN MITCHELL (Write-In)",1
"JUDITH AMARO (Write-In)",2
"KIMBERLY DILLON (Write-In)",1
"MAGGIE CLARK (Write-In)",1
"OSNAC KAMINER (Write-In)",1
"PAOLA RUIZ (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",8
"VALERIE GO'HARA (Write-In)",1
,
,
,
"Total Votes","6,094"
"Unrecorded","3,678"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
