,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


New York County
 - 
Democratic Party




Democratic Delegate to Judicial Convention


66th Assembly District


Vote for 6"
"Assembly District 66"
"Public Counter","4,047"
"Emergency",0
"Absentee/Military",254
"Affidavit",11
"Total Ballots","4,312"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,312"
,
"Maureen Remacle","2,584"
"Jeanne Kazel Wilcke","2,522"
"Jennifer Hoppe","2,679"
"Norma Ramirez","2,671"
"David J. Karlin","2,228"
"Cormac Flynn","2,176"
"Jean B. Grillo","1,258"
"John R. Scott","1,074"
"Tiffany Scott",978
"June Grancio","1,128"
"ADELE GOTLIB (Write-In)",1
"ALFRED E. NEWMAN (Write-In)",1
"ANGELA LEWIS (Write-In)",1
"ANGELINA JOLIE (Write-In)",1
"ARNIE ROBINSON (Write-In)",1
"AUNG SAN SWKYI (Write-In)",1
"BARBRA WHITAKER (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"BILL KUNSLER (Write-In)",1
"BRIAN LEHREN (Write-In)",1
"CHERYL DAITCH (Write-In)",1
"DANNY ALTERMAN (Write-In)",1
"DAVID HARDCASTLE (Write-In)",1
"DAVID ZORNOW (Write-In)",1
"DEBBIE ALMANFASER (Write-In)",1
"DENNIS NEWMAN (Write-In)",1
"DON LEE (Write-In)",1
"DONALD TRUMP (Write-In)",1
"DORIS LING COHAN (Write-In)",1
"ELEANOR ZURITA (Write-In)",1
"ELIZABETH HOLTZMAN (Write-In)",1
"ELLEN K. JAFFE (Write-In)",1
"ESTHER RAND (Write-In)",1
"EVETTE KATZ (Write-In)",1
"FLOYD FELDMAN (Write-In)",1
"FOSTER MAER (Write-In)",1
"FRANCES GOLDIN (Write-In)",1
"GALE BREWER (Write-In)",2
"GARY FERTMAN (Write-In)",1
"GEORGE COMINSKIE (Write-In)",1
"GLEN E FRIEDMAN (Write-In)",1
"HANLEY VINCENT (Write-In)",1
"HAROLD DONOHUE (Write-In)",2
"ISABELLA BRACHMAN (Write-In)",1
"JACK DOWLING (Write-In)",1
"JANET BLUE STONE (Write-In)",1
"JEREMY RICHARDSON (Write-In)",1
"JERRY GOLDFEDER (Write-In)",1
"JIM FOURATT (Write-In)",4
"JOHN FISHER (Write-In)",1
"JOHN HARRISON YORK (Write-In)",1
"KAMALA MOTTL (Write-In)",1
"KATHREEN BLOS (Write-In)",1
"KRISTA TIPPITT (Write-In)",1
"LEGACY RUSSELL (Write-In)",1
"LEONARDO DICAPRIO (Write-In)",1
"LESLIE THROPE (Write-In)",1
"LORA TENENBAUM (Write-In)",2
"LOUIS G. WERNER (Write-In)",1
"MAE GAMBLE (Write-In)",1
