,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


New York County
 - 
Democratic Party




Democratic Delegate to Judicial Convention


76th Assembly District


Vote for 7"
"Assembly District 76"
"Public Counter","3,015"
"Emergency",0
"Absentee/Military",168
"Affidavit",15
"Total Ballots","3,198"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,198"
,
"Steven S. Goldberg","1,350"
"Arlene S. Kayatt","1,315"
"Abraham H. Salcedo","1,008"
"Lynne C. Feibelmann","1,306"
"Esther Bernhard Yang","1,310"
"Frank Wilkinson","1,195"
"Abbye L. Lawrence","1,118"
"Jill Eisner","1,686"
"Ruth C. Halberg","1,471"
"Edward S. Hochman","1,072"
"Irma Godlin","1,234"
"Karl Seidenwurm",865
"Joshua S. Kravitz","1,270"
"Madelaine D. Piel","1,279"
"ALAN KITNIS (Write-In)",1
"BRADLEY HERSHENSON (Write-In)",1
"CHRISTOPHER REGAN (Write-In)",1
"COURTNEY BARNETT (Write-In)",1
"ED POTTER (Write-In)",1
"ELEANOR ROOSEVELT (Write-In)",1
"ELIZABETH RIVAS (Write-In)",1
"ELLEN SAKANY (Write-In)",1
"GREG PASCAL (Write-In)",1
"IDO LECHNER (Write-In)",1
"JAMIE KING (Write-In)",1
"JANE DOE (Write-In)",1
"JEAN FISCHMAM (Write-In)",1
"JENNIFER MCCLEAN (Write-In)",1
"JENNY KIRKLAND FETUS (Write-In)",1
"JERROLD LEVY (Write-In)",1
"JOSEPH DANIEL REM (Write-In)",1
"LIZ KREUGER (Write-In)",1
"LORAINE BROWN (Write-In)",1
"MARIN SMANON (Write-In)",1
"MARTIN DELUCA (Write-In)",1
"MATT MCDERMOTT (Write-In)",1
"PATRICIA L. GATTING (Write-In)",1
"PAUL BARANAY (Write-In)",1
"RAE ALBUM (Write-In)",1
"RICHARD BEIBIER (Write-In)",1
"SARAH SHORE (Write-In)",1
"SHAWN BASSETT (Write-In)",1
"SHEILA FLAXMAN (Write-In)",2
"SPENCER TIBBALS (Write-In)",1
"STEPHANIE PHILLOS (Write-In)",1
"TAN ALPERT (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",22
,
,
,
"Total Votes","17,536"
"Unrecorded","4,850"

"Total for Democratic Delegate to Judicial Convention (76th Assembly District) - New York County"
"Public Counter","3,015"
"Emergency",0
"Absentee/Military",168
"Affidavit",15
"Total Ballots","3,198"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,198"
,
"Steven S. Goldberg","1,350"
"Arlene S. Kayatt","1,315"
"Abraham H. Salcedo","1,008"
"Lynne C. Feibelmann","1,306"
"Esther Bernhard Yang","1,310"
"Frank Wilkinson","1,195"
"Abbye L. Lawrence","1,118"
"Jill Eisner","1,686"
"Ruth C. Halberg","1,471"
"Edward S. Hochman","1,072"
"Irma Godlin","1,234"
"Karl Seidenwurm",865
"Joshua S. Kravitz","1,270"
"Madelaine D. Piel","1,279"
"ALAN KITNIS (Write-In)",1
"BRADLEY HERSHENSON (Write-In)",1
"CHRISTOPHER REGAN (Write-In)",1
"COURTNEY BARNETT (Write-In)",1
"ED POTTER (Write-In)",1
"ELEANOR ROOSEVELT (Write-In)",1
"ELIZABETH RIVAS (Write-In)",1
"ELLEN SAKANY (Write-In)",1
"GREG PASCAL (Write-In)",1
"IDO LECHNER (Write-In)",1
"JAMIE KING (Write-In)",1
"JANE DOE (Write-In)",1
"JEAN FISCHMAM (Write-In)",1
"JENNIFER MCCLEAN (Write-In)",1
"JENNY KIRKLAND FETUS (Write-In)",1
"JERROLD LEVY (Write-In)",1
"JOSEPH DANIEL REM (Write-In)",1
"LIZ KREUGER (Write-In)",1
"LORAINE BROWN (Write-In)",1
"MARIN SMANON (Write-In)",1
"MARTIN DELUCA (Write-In)",1
"MATT MCDERMOTT (Write-In)",1
"PATRICIA L. GATTING (Write-In)",1
"PAUL BARANAY (Write-In)",1
"RAE ALBUM (Write-In)",1
"RICHARD BEIBIER (Write-In)",1
"SARAH SHORE (Write-In)",1
"SHAWN BASSETT (Write-In)",1
"SHEILA FLAXMAN (Write-In)",2
"SPENCER TIBBALS (Write-In)",1
"STEPHANIE PHILLOS (Write-In)",1
"TAN ALPERT (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",22
,
,
,
"Total Votes","17,536"
"Unrecorded","4,850"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
