,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


New York County
 - 
Democratic Party




Democratic Alternate Delegate to the Judicial Convention


72nd Assembly District


Vote for 6"
"Assembly District 72"
"Public Counter","9,554"
"Emergency",1
"Absentee/Military",162
"Affidavit",55
"Total Ballots","9,772"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,772"
,
"Maria Morillo","2,320"
"Noris R. Casilla",910
"Elizabeth Batista","2,101"
"Eduardo Hopelman","1,143"
"Julie  H. Cubilette","1,214"
"Rita B. Gomez","1,573"
"Maria Marte","2,177"
"Ana Lazala","1,170"
"Dayana N. Pichardo","1,135"
"Margarita Gomez","1,974"
"Yuderka Valdez","1,695"
"Carole Mulligan","1,367"
"Johnnie Abreu","1,070"
"Dana K. Hockenbury","1,238"
"F. M. Castellanos",864
"Felipe Wityk Sanchez",673
"ADAM C. POWELL JR. (Write-In)",1
"ANA TERESA GOMEZ (Write-In)",1
"ANTHONIO L. DRRIDGE (Write-In)",1
"ARLENE SCLTULMAN (Write-In)",1
"CHRISTOPHER ROWAN (Write-In)",1
"DAVID DESTAFAND (Write-In)",1
"DAVID FRIEND (Write-In)",1
"DEVIN SHEPHERD (Write-In)",1
"ED GOLDMAN (Write-In)",1
"FRANCISCO CORDERO (Write-In)",1
"INGRID SACAS (Write-In)",1
"JASON ROSEN BURGER (Write-In)",1
"JIM REARDON (Write-In)",1
"JOHANNA ABREU (Write-In)",1
"JUAN EPSTEIN (Write-In)",1
"KATHERINE O'SULLIVAN (Write-In)",1
"LARRY JOHNSON (Write-In)",1
"LOLA MARTIN (Write-In)",1
"MARIA JUDILLA (Write-In)",1
"MARK GREEN (Write-In)",2
"NANCY PRESTON (Write-In)",1
"NED TOSINI (Write-In)",1
"PA HAHAM (Write-In)",1
"POPE FRANCIS (Write-In)",1
"PORPUN SUNTANACHATE (Write-In)",1
"ROBERT MENKEN (Write-In)",2
"RUTH MESSINGER (Write-In)",1
"RYAN DILLON (Write-In)",1
"THOMAS DUANE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",42
,
,
,
"Total Votes","22,698"
"Unrecorded","35,934"

"Total for Democratic Alternate Delegate to the Judicial Convention (72nd Assembly District) - New York County"
"Public Counter","9,554"
"Emergency",1
"Absentee/Military",162
"Affidavit",55
"Total Ballots","9,772"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,772"
,
"Maria Morillo","2,320"
"Noris R. Casilla",910
"Elizabeth Batista","2,101"
"Eduardo Hopelman","1,143"
"Julie  H. Cubilette","1,214"
"Rita B. Gomez","1,573"
"Maria Marte","2,177"
"Ana Lazala","1,170"
"Dayana N. Pichardo","1,135"
"Margarita Gomez","1,974"
"Yuderka Valdez","1,695"
"Carole Mulligan","1,367"
"Johnnie Abreu","1,070"
"Dana K. Hockenbury","1,238"
"F. M. Castellanos",864
"Felipe Wityk Sanchez",673
"ADAM C. POWELL JR. (Write-In)",1
"ANA TERESA GOMEZ (Write-In)",1
"ANTHONIO L. DRRIDGE (Write-In)",1
"ARLENE SCLTULMAN (Write-In)",1
"CHRISTOPHER ROWAN (Write-In)",1
"DAVID DESTAFAND (Write-In)",1
"DAVID FRIEND (Write-In)",1
"DEVIN SHEPHERD (Write-In)",1
"ED GOLDMAN (Write-In)",1
"FRANCISCO CORDERO (Write-In)",1
"INGRID SACAS (Write-In)",1
"JASON ROSEN BURGER (Write-In)",1
"JIM REARDON (Write-In)",1
"JOHANNA ABREU (Write-In)",1
"JUAN EPSTEIN (Write-In)",1
"KATHERINE O'SULLIVAN (Write-In)",1
"LARRY JOHNSON (Write-In)",1
"LOLA MARTIN (Write-In)",1
"MARIA JUDILLA (Write-In)",1
"MARK GREEN (Write-In)",2
"NANCY PRESTON (Write-In)",1
"NED TOSINI (Write-In)",1
"PA HAHAM (Write-In)",1
"POPE FRANCIS (Write-In)",1
"PORPUN SUNTANACHATE (Write-In)",1
"ROBERT MENKEN (Write-In)",2
"RUTH MESSINGER (Write-In)",1
"RYAN DILLON (Write-In)",1
"THOMAS DUANE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",42
,
,
,
"Total Votes","22,698"
"Unrecorded","35,934"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
