,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


New York County
 - 
Democratic Party




Democratic Alternate Delegate to the Judicial Convention


75th Assembly District


Vote for 7"
"Assembly District 75"
"Public Counter","2,922"
"Emergency",0
"Absentee/Military",222
"Affidavit",8
"Total Ballots","3,152"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,152"
,
"Denise Spillane","1,065"
"James McManus",951
"James Simpson",742
"Marlene S. Moncada","1,070"
"Sandy Hecker","1,060"
"Burt Lazarin","1,137"
"Jane B. Jacobs","1,700"
"Donathan Salkaln","1,001"
"David W. Silverstone","1,267"
"George M. Santana","1,346"
"Lydia R. Hummel","1,416"
"Susanne Wasson","1,533"
"ANGELIQUE ELLYN ANDERSON (Write-In)",1
"ANTHONY WEINER (Write-In)",1
"ANTONIO HAYNES (Write-In)",1
"BENJAMIN YEE (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CHARLES ENGMAN (Write-In)",1
"COREY JOHNSON (Write-In)",1
"DAVID STONE (Write-In)",1
"DEBORAH J. GLICK (Write-In)",1
"DIONNE DAWKINS (Write-In)",2
"ELIOT SPITZER (Write-In)",1
"ELIZABETH SANTEIX (Write-In)",2
"JANET FISHER (Write-In)",1
"JOHN FRANCIS FORD (Write-In)",1
"JOHN MARTH (Write-In)",1
"JOSEPH DI THOMAS (Write-In)",1
"KAREN CASAMASSIMA (Write-In)",1
"MARIAM ITA (Write-In)",1
"ODESSA KENNEDY (Write-In)",1
"RICHARD DAVID OWEN (Write-In)",1
"ROBERT W FIRM (Write-In)",1
"SAMUEL MARTH (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",37
"VICTOR R. LABOY (Write-In)",1
,
,
,
"Total Votes","14,351"
"Unrecorded","7,713"

"Total for Democratic Alternate Delegate to the Judicial Convention (75th Assembly District) - New York County"
"Public Counter","2,922"
"Emergency",0
"Absentee/Military",222
"Affidavit",8
"Total Ballots","3,152"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,152"
,
"Denise Spillane","1,065"
"James McManus",951
"James Simpson",742
"Marlene S. Moncada","1,070"
"Sandy Hecker","1,060"
"Burt Lazarin","1,137"
"Jane B. Jacobs","1,700"
"Donathan Salkaln","1,001"
"David W. Silverstone","1,267"
"George M. Santana","1,346"
"Lydia R. Hummel","1,416"
"Susanne Wasson","1,533"
"ANGELIQUE ELLYN ANDERSON (Write-In)",1
"ANTHONY WEINER (Write-In)",1
"ANTONIO HAYNES (Write-In)",1
"BENJAMIN YEE (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CHARLES ENGMAN (Write-In)",1
"COREY JOHNSON (Write-In)",1
"DAVID STONE (Write-In)",1
"DEBORAH J. GLICK (Write-In)",1
"DIONNE DAWKINS (Write-In)",2
"ELIOT SPITZER (Write-In)",1
"ELIZABETH SANTEIX (Write-In)",2
"JANET FISHER (Write-In)",1
"JOHN FRANCIS FORD (Write-In)",1
"JOHN MARTH (Write-In)",1
"JOSEPH DI THOMAS (Write-In)",1
"KAREN CASAMASSIMA (Write-In)",1
"MARIAM ITA (Write-In)",1
"ODESSA KENNEDY (Write-In)",1
"RICHARD DAVID OWEN (Write-In)",1
"ROBERT W FIRM (Write-In)",1
"SAMUEL MARTH (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",37
"VICTOR R. LABOY (Write-In)",1
,
,
,
"Total Votes","14,351"
"Unrecorded","7,713"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
