,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


New York County
 - 
Democratic Party




Democratic Alternate Delegate to the Judicial Convention


76th Assembly District


Vote for 7"
"Assembly District 76"
"Public Counter","3,015"
"Emergency",0
"Absentee/Military",168
"Affidavit",15
"Total Ballots","3,198"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,198"
,
"Joan M. Roberts","1,343"
"Elana Schwartz","1,384"
"Teresa Malyshev","1,094"
"Saul Nadel","1,096"
"Sheila J. Fine","1,344"
"Gerald J. Ferguson",937
"Joyce C. Bahr","1,241"
"Charlotte Olcay","1,090"
"Margaret O. Korte","1,062"
"Peter B. Patch",874
"Jonathan Piel","1,137"
"Ellen Ravenel","1,124"
"Andrew Blum","1,097"
"Barbara Parker","1,281"
"ALAN KITNIS (Write-In)",1
"ANDERSON MURINOS (Write-In)",1
"CHRISTOPHER REGAN (Write-In)",1
"COURTNEY BARNETT (Write-In)",1
"DAVID L. FRIEDMAN (Write-In)",1
"DYLAN BASSETT (Write-In)",1
"ED POTTER (Write-In)",1
"ELLEN SAKANY (Write-In)",1
"ESTHER MURRAY (Write-In)",1
"FIORELLO LA GUARDIA (Write-In)",1
"JANE DOE (Write-In)",1
"JAY HERSHENSON (Write-In)",1
"JENNIFER MCCLEAN (Write-In)",1
"JON CHANANIE (Write-In)",1
"KENNETH LEVITT (Write-In)",1
"LORAINE BROWN (Write-In)",1
"MARGARET DORNBAUM (Write-In)",1
"MARTIN DORABAUM (Write-In)",1
"MATT MCDERMOTT (Write-In)",1
"PATRICK BOBILIN (Write-In)",1
"PAUL BARANAY (Write-In)",1
"PAULO MURINOS (Write-In)",1
"SARAH SHORE (Write-In)",1
"SHEILA FLAXMAN (Write-In)",1
"SOPHIE DORABAUM (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",23
,
,
,
"Total Votes","16,152"
"Unrecorded","6,234"

"Total for Democratic Alternate Delegate to the Judicial Convention (76th Assembly District) - New York County"
"Public Counter","3,015"
"Emergency",0
"Absentee/Military",168
"Affidavit",15
"Total Ballots","3,198"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,198"
,
"Joan M. Roberts","1,343"
"Elana Schwartz","1,384"
"Teresa Malyshev","1,094"
"Saul Nadel","1,096"
"Sheila J. Fine","1,344"
"Gerald J. Ferguson",937
"Joyce C. Bahr","1,241"
"Charlotte Olcay","1,090"
"Margaret O. Korte","1,062"
"Peter B. Patch",874
"Jonathan Piel","1,137"
"Ellen Ravenel","1,124"
"Andrew Blum","1,097"
"Barbara Parker","1,281"
"ALAN KITNIS (Write-In)",1
"ANDERSON MURINOS (Write-In)",1
"CHRISTOPHER REGAN (Write-In)",1
"COURTNEY BARNETT (Write-In)",1
"DAVID L. FRIEDMAN (Write-In)",1
"DYLAN BASSETT (Write-In)",1
"ED POTTER (Write-In)",1
"ELLEN SAKANY (Write-In)",1
"ESTHER MURRAY (Write-In)",1
"FIORELLO LA GUARDIA (Write-In)",1
"JANE DOE (Write-In)",1
"JAY HERSHENSON (Write-In)",1
"JENNIFER MCCLEAN (Write-In)",1
"JON CHANANIE (Write-In)",1
"KENNETH LEVITT (Write-In)",1
"LORAINE BROWN (Write-In)",1
"MARGARET DORNBAUM (Write-In)",1
"MARTIN DORABAUM (Write-In)",1
"MATT MCDERMOTT (Write-In)",1
"PATRICK BOBILIN (Write-In)",1
"PAUL BARANAY (Write-In)",1
"PAULO MURINOS (Write-In)",1
"SARAH SHORE (Write-In)",1
"SHEILA FLAXMAN (Write-In)",1
"SOPHIE DORABAUM (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",23
,
,
,
"Total Votes","16,152"
"Unrecorded","6,234"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
