,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


New York County
 - 
Democratic Party




Democratic Delegate to National Convention


7th Congressional District


Vote for 7"
"7th Congressional District"
"Assembly District 65"
"Public Counter","9,614"
"Emergency",0
"Absentee/Military",164
"Federal",44
"Affidavit",207
"Total Ballots","10,029"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","10,029.00"
,
"Carmen Hulbert (F) - Pledged to support Sanders","3,066"
"Jonathan I. Fuhrer (M) - Pledged to support Sanders","2,679"
"Traci-Ann Strickland (F) - Pledged to support Sanders","2,858"
"Robert Dannin (M) - Pledged to support Sanders","2,652"
"Rachel J. Bernstein (F) - Pledged to support Sanders","3,011"
"Sean T. Robertson (M) - Pledged to support Sanders","2,641"
"Jenny Low (F) - Pledged to support Clinton","4,786"
"Martin Malave-Dilan (M) - Pledged to support Clinton","3,743"
"Janet Forte (F) - Pledged to support Clinton","3,934"
"Steven Cohn (M) - Pledged to support Clinton","3,772"
"Cara Noel (F) - Pledged to support Clinton","3,789"
"Edward Tyre (M) - Pledged to support Clinton","3,566"
"Nancy Padilla (F) - Pledged to support Clinton","4,280"
,
,
,
"Total Votes","44,777"
"Unrecorded","25,426"

"Assembly District 66"
"Public Counter",5
"Emergency",0
"Absentee/Military",0
"Federal",1
"Affidavit",0
"Total Ballots",6
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",6.00
,
"Carmen Hulbert (F) - Pledged to support Sanders",1
"Jonathan I. Fuhrer (M) - Pledged to support Sanders",1
"Traci-Ann Strickland (F) - Pledged to support Sanders",1
"Robert Dannin (M) - Pledged to support Sanders",0
"Rachel J. Bernstein (F) - Pledged to support Sanders",0
"Sean T. Robertson (M) - Pledged to support Sanders",1
"Jenny Low (F) - Pledged to support Clinton",3
"Martin Malave-Dilan (M) - Pledged to support Clinton",2
"Janet Forte (F) - Pledged to support Clinton",2
"Steven Cohn (M) - Pledged to support Clinton",2
"Cara Noel (F) - Pledged to support Clinton",2
"Edward Tyre (M) - Pledged to support Clinton",3
"Nancy Padilla (F) - Pledged to support Clinton",3
,
,
,
"Total Votes",21
"Unrecorded",21

"Assembly District 74"
"Public Counter","2,772"
"Emergency",0
"Absentee/Military",34
"Federal",0
"Affidavit",80
"Total Ballots","2,886"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,886.00"
,
"Carmen Hulbert (F) - Pledged to support Sanders",829
"Jonathan I. Fuhrer (M) - Pledged to support Sanders",703
"Traci-Ann Strickland (F) - Pledged to support Sanders",716
"Robert Dannin (M) - Pledged to support Sanders",670
"Rachel J. Bernstein (F) - Pledged to support Sanders",739
"Sean T. Robertson (M) - Pledged to support Sanders",669
"Jenny Low (F) - Pledged to support Clinton","1,275"
"Martin Malave-Dilan (M) - Pledged to support Clinton","1,192"
"Janet Forte (F) - Pledged to support Clinton","1,234"
"Steven Cohn (M) - Pledged to support Clinton","1,165"
"Cara Noel (F) - Pledged to support Clinton","1,180"
"Edward Tyre (M) - Pledged to support Clinton","1,109"
"Nancy Padilla (F) - Pledged to support Clinton","1,470"
,
,
,
"Total Votes","12,951"
"Unrecorded","7,251"

"Total for Democratic Delegate to National Convention (7th Congressional District) - New York County"

"Public Counter","12,391"
"Emergency",0
"Absentee/Military",198
"Federal",45
"Affidavit",287
"Total Ballots","12,921"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","12,921.00"
,
"Carmen Hulbert (F) - Pledged to support Sanders","3,896"
"Jonathan I. Fuhrer (M) - Pledged to support Sanders","3,383"
"Traci-Ann Strickland (F) - Pledged to support Sanders","3,575"
"Robert Dannin (M) - Pledged to support Sanders","3,322"
"Rachel J. Bernstein (F) - Pledged to support Sanders","3,750"
"Sean T. Robertson (M) - Pledged to support Sanders","3,311"
"Jenny Low (F) - Pledged to support Clinton","6,064"
"Martin Malave-Dilan (M) - Pledged to support Clinton","4,937"
"Janet Forte (F) - Pledged to support Clinton","5,170"
"Steven Cohn (M) - Pledged to support Clinton","4,939"
"Cara Noel (F) - Pledged to support Clinton","4,971"
"Edward Tyre (M) - Pledged to support Clinton","4,678"
"Nancy Padilla (F) - Pledged to support Clinton","5,753"
,
,
,
"Total Votes","57,749"
"Unrecorded","32,698"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
