"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Public Counter",129
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Emergency",0
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Absentee/Military",3
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Federal",0
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Affidavit",1
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Jackie Sheeler (F) - Pledged to support Sanders",23
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Bill Perkins (M) - Pledged to support Sanders",32
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Marisol Alcantara (F) - Pledged to support Sanders",28
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Harold S. Forsyth (M) - Pledged to support Sanders",20
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Betzabeth Sanchez (F) - Pledged to support Sanders",23
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Nicolas Dedual (M) - Pledged to support Sanders",20
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Keith Wright (M) - Pledged to support Clinton",54
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Inez E. Dickens (F) - Pledged to support Clinton",50
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Ydanis Rodriguez (M) - Pledged to support Clinton",60
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Maria Luna (F) - Pledged to support Clinton",52
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Londel Davis (M) - Pledged to support Clinton",47
"68","016","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Vanessa L. Gibson (F) - Pledged to support Clinton",55
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Public Counter",136
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Emergency",0
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Absentee/Military",1
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Federal",1
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Affidavit",5
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Jackie Sheeler (F) - Pledged to support Sanders",34
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Bill Perkins (M) - Pledged to support Sanders",49
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Marisol Alcantara (F) - Pledged to support Sanders",32
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Harold S. Forsyth (M) - Pledged to support Sanders",33
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Betzabeth Sanchez (F) - Pledged to support Sanders",30
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Nicolas Dedual (M) - Pledged to support Sanders",29
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Keith Wright (M) - Pledged to support Clinton",76
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Inez E. Dickens (F) - Pledged to support Clinton",67
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Ydanis Rodriguez (M) - Pledged to support Clinton",67
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Maria Luna (F) - Pledged to support Clinton",66
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Londel Davis (M) - Pledged to support Clinton",64
"68","017","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Vanessa L. Gibson (F) - Pledged to support Clinton",65
"68","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Public Counter",164
"68","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Emergency",0
"68","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Absentee/Military",3
"68","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Federal",1
"68","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Affidavit",7
"68","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Jackie Sheeler (F) - Pledged to support Sanders",53
"68","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Bill Perkins (M) - Pledged to support Sanders",56
"68","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Marisol Alcantara (F) - Pledged to support Sanders",55
"68","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Harold S. Forsyth (M) - Pledged to support Sanders",45
"68","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Betzabeth Sanchez (F) - Pledged to support Sanders",52
"68","018","New York","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Nicolas Dedual (M) - Pledged to support Sanders",48
