,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Bronx County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1"
"13th Congressional District"
"Assembly District 77"
"Public Counter","1,630"
"Emergency",0
"Absentee/Military",21
"Federal",3
"Affidavit",99
"Total Ballots","1,753"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,753.00"
,
"Bernie Sanders",435
"Hillary Clinton","1,306"
,
,
,
"Total Votes","1,741"
"Unrecorded",12

"Assembly District 78"
"Public Counter","6,684"
"Emergency",0
"Absentee/Military",151
"Federal",23
"Affidavit",499
"Total Ballots","7,357"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","7,357.00"
,
"Bernie Sanders","2,415"
"Hillary Clinton","4,867"
,
,
,
"Total Votes","7,282"
"Unrecorded",75

"Assembly District 80"
"Public Counter","2,793"
"Emergency",0
"Absentee/Military",38
"Federal",9
"Affidavit",210
"Total Ballots","3,050"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,050.00"
,
"Bernie Sanders","1,034"
"Hillary Clinton","1,983"
,
,
,
"Total Votes","3,017"
"Unrecorded",33

"Assembly District 81"
"Public Counter","5,913"
"Emergency",0
"Absentee/Military",130
"Federal",43
"Affidavit",357
"Total Ballots","6,443"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,443.00"
,
"Bernie Sanders","2,366"
"Hillary Clinton","4,005"
,
,
,
"Total Votes","6,371"
"Unrecorded",72

"Assembly District 86"
"Public Counter",727
"Emergency",0
"Absentee/Military",6
"Federal",1
"Affidavit",48
"Total Ballots",782
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",782.00
,
"Bernie Sanders",254
"Hillary Clinton",520
,
,
,
"Total Votes",774
"Unrecorded",8

"Total for 13th Congressional District-Bronx County"
"Public Counter","17,747"
"Emergency",0
"Absentee/Military",346
"Federal",79
"Affidavit","1,213"
"Total Ballots","19,385"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","19,385.00"
,
"Bernie Sanders","6,504"
"Hillary Clinton","12,681"
,
,
,
"Total Votes","19,185"
"Unrecorded",200

"14th Congressional District"
"Assembly District 78"
"Public Counter",466
"Emergency",0
"Absentee/Military",17
"Federal",2
"Affidavit",19
"Total Ballots",504
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",504.00
,
"Bernie Sanders",169
"Hillary Clinton",327
,
,
,
"Total Votes",496
"Unrecorded",8

"Assembly District 80"
"Public Counter","7,536"
"Emergency",0
"Absentee/Military",238
"Federal",31
"Affidavit",388
"Total Ballots","8,193"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","8,193.00"
,
"Bernie Sanders","2,986"
"Hillary Clinton","5,114"
,
,
,
"Total Votes","8,100"
"Unrecorded",93

"Assembly District 82"
"Public Counter","7,203"
"Emergency",0
"Absentee/Military",129
"Federal",27
"Affidavit",335
"Total Ballots","7,694"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","7,694.00"
,
"Bernie Sanders","3,388"
"Hillary Clinton","4,179"
,
,
,
"Total Votes","7,567"
"Unrecorded",127

"Assembly District 85"
"Public Counter",0
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",0
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",0.00
,
"Bernie Sanders",0
"Hillary Clinton",0
,
,
,
"Total Votes",0
,

"Assembly District 87"
"Public Counter","5,005"
"Emergency",0
"Absentee/Military",85
"Federal",9
"Affidavit",276
"Total Ballots","5,375"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","5,375.00"
,
"Bernie Sanders","1,780"
"Hillary Clinton","3,564"
,
,
,
"Total Votes","5,344"
"Unrecorded",31

"Total for 14th Congressional District-Bronx County"
"Public Counter","20,210"
"Emergency",0
"Absentee/Military",469
"Federal",69
"Affidavit","1,018"
