,
"Statement and Return Report

for Certification



Federal Primary - 06/28/2016


Bronx County
 - 
Democratic Party




Democratic Representative in Congress


15th Congressional District


Vote for 1"
"Assembly District 77"
"Public Counter","1,810"
"Emergency",0
"Absentee/Military",117
"Federal",8
"Affidavit",36
"Total Ballots","1,971"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,971"
,
"Jose E. Serrano","1,717"
"Leonel Baez",192
"ADRIANO ESPAILLAT (Write-In)",25
"ADRIANO ESPALLAT (Write-In)",4
"CLYDE WILLIAMS (Write-In)",1
"DESIREE JOY FRIAS (Write-In)",1
"EZEQUIEL JIMENEZ (Write-In)",1
"JOSE ESPAILLAT (Write-In)",1
"LYNN SANCHEZ (Write-In)",1
"MARIANO LABOY (Write-In)",1
"RUBEN DIAZ JR (Write-In)",2
"SUSAN JOHNSON -COOKE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",12
"YVETTE THOMAS (Write-In)",1
,
,
,
"Total Votes","1,960"
"Unrecorded",11

"Assembly District 78"
"Public Counter",374
"Emergency",0
"Absentee/Military",33
"Federal",4
"Affidavit",4
"Total Ballots",415
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",415
,
"Jose E. Serrano",335
"Leonel Baez",62
"ADRIANO ESPAILLAT (Write-In)",5
"KENNETH HOLT (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
,
,
,
"Total Votes",406
"Unrecorded",9

"Assembly District 79"
"Public Counter","2,141"
"Emergency",0
"Absentee/Military",156
"Federal",3
"Affidavit",29
"Total Ballots","2,329"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,329"
,
"Jose E. Serrano","2,053"
"Leonel Baez",229
"ADAM CLAYTON POWELL (Write-In)",1
"ADRIANO ESPAILLAT (Write-In)",8
"CHARLES RANGEL (Write-In)",1
"CYNTHIA COX (Write-In)",1
"DENA WILLIAMS (Write-In)",1
"HOMNS MITCHELL (Write-In)",1
"ISALIMA CELLYMORE (Write-In)",1
"JOSE G. CAMACHO (Write-In)",1
"JOSEPH PERREAH (Write-In)",1
"KEITH WRIGHT (Write-In)",3
"MICHAEL BLAKE (Write-In)",1
"RUBEN DIAZ (Write-In)",1
"SAMELYS LOPEZ (Write-In)",1
"SUSAN JOHNSON COOK (Write-In)",1
"TRACEY ROBERTS (Write-In)",2
