,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Bronx County
 - 
Democratic Party




Democratic State Senator


32nd Senatorial District


Vote for 1"
"Assembly District 77"
"Public Counter",729
"Emergency",0
"Absentee/Military",37
"Affidavit",8
"Total Ballots",774
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",774
,
"Ruben Diaz Sr.",650
"Elliot Quinones",70
"JOYCE HOGI (Write-In)",1
,
,
,
"Total Votes",721
"Unrecorded",53

"Assembly District 79"
"Public Counter","2,399"
"Emergency",0
"Absentee/Military",128
"Affidavit",19
"Total Ballots","2,546"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,546"
,
"Ruben Diaz Sr.","2,239"
"Elliot Quinones",233
"FERNANDO CABRERA (Write-In)",2
"JOSE G. CAMACHO (Write-In)",2
"MICHAEL BLAKE (Write-In)",1
"TRACY ROBERTS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes","2,479"
"Unrecorded",67

"Assembly District 82"
"Public Counter",25
"Emergency",0
"Absentee/Military",1
"Affidavit",1
"Total Ballots",27
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",27
,
"Ruben Diaz Sr.",20
"Elliot Quinones",7
,
,
,
"Total Votes",27
,

"Assembly District 84"
"Public Counter",535
"Emergency",0
"Absentee/Military",14
"Affidavit",4
"Total Ballots",553
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",553
,
"Ruben Diaz Sr.",475
"Elliot Quinones",47
"OSWALD DENNIS (Write-In)",1
,
,
,
"Total Votes",523
"Unrecorded",30

"Assembly District 85"
"Public Counter","3,104"
"Emergency",0
"Absentee/Military",125
"Affidavit",29
"Total Ballots","3,258"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,258"
,
"Ruben Diaz Sr.","2,727"
"Elliot Quinones",360
"ALISON BUSH (Write-In)",1
"CAMELLA PINKNEY-PRICE (Write-In)",1
"TAISHA GUY (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",4
,
,
,
"Total Votes","3,094"
"Unrecorded",164

"Assembly District 87"
"Public Counter","2,795"
"Emergency",0
"Absentee/Military",136
"Affidavit",25
"Total Ballots","2,956"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,956"
,
"Ruben Diaz Sr.","2,446"
"Elliot Quinones",352
"JOSE RIVERA (Write-In)",1
"MANNY DELOS SANTOS (Write-In)",1
"MICHAEL ANTONIO WITTER (Write-In)",1
"ROBERT JACKSON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","2,804"
"Unrecorded",152

"Total for Democratic State Senator (32nd Senatorial District) - Bronx County"
"Public Counter","9,587"
"Emergency",0
"Absentee/Military",441
"Affidavit",86
"Total Ballots","10,114"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","10,114"
,
"Ruben Diaz Sr.","8,557"
"Elliot Quinones","1,069"
"ALISON BUSH (Write-In)",1
"CAMELLA PINKNEY-PRICE (Write-In)",1
"FERNANDO CABRERA (Write-In)",2
"JOSE G. CAMACHO (Write-In)",2
"JOSE RIVERA (Write-In)",1
"JOYCE HOGI (Write-In)",1
"MANNY DELOS SANTOS (Write-In)",1
"MICHAEL ANTONIO WITTER (Write-In)",1
"MICHAEL BLAKE (Write-In)",1
"OSWALD DENNIS (Write-In)",1
"ROBERT JACKSON (Write-In)",1
"TAISHA GUY (Write-In)",1
"TRACY ROBERTS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",5
,
,
,
"Total Votes","9,648"
"Unrecorded",466


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
