,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Bronx County
 - 
Democratic Party




Democratic State Senator


33rd Senatorial District


Vote for 1"
"Assembly District 77"
"Public Counter",504
"Emergency",0
"Absentee/Military",26
"Affidavit",0
"Total Ballots",530
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",530
,
"J. Gustavo Rivera",330
"Fernando Cabrera",176
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
,
,
,
"Total Votes",508
"Unrecorded",22

"Assembly District 78"
"Public Counter","2,771"
"Emergency",0
"Absentee/Military",138
"Affidavit",28
"Total Ballots","2,937"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,937"
,
"J. Gustavo Rivera","1,728"
"Fernando Cabrera","1,058"
"ADRIAN ESPAILLAT (Write-In)",1
"DESIREE HUNTER PILIORAM (Write-In)",1
"HECTOR RAMIEZ (Write-In)",1
"HECTOR RAMIREZ (Write-In)",2
"RAFAEL SALAMANCA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VICTOR PICHARDO (Write-In)",1
,
,
,
"Total Votes","2,796"
"Unrecorded",141

"Assembly District 79"
"Public Counter","1,190"
"Emergency",0
"Absentee/Military",48
"Affidavit",13
"Total Ballots","1,251"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,251"
,
"J. Gustavo Rivera",896
"Fernando Cabrera",325
"HELEN HINES (Write-In)",3
"LISA ROSE (Write-In)",1
"MICHAEL BLAKE (Write-In)",2
"RUBEN DIAZ (Write-In)",2
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VICTOR HUGO GUTIERREZ (Write-In)",1
"WILLIAM GUZMAN JR (Write-In)",1
,
,
,
"Total Votes","1,232"
"Unrecorded",19

"Assembly District 80"
"Public Counter",117
"Emergency",0
"Absentee/Military",7
"Affidavit",1
"Total Ballots",125
