,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Bronx County
 - 
Democratic Party




Democratic State Senator


36th Senatorial District


Vote for 1"
"Assembly District 78"
"Public Counter",238
"Emergency",0
"Absentee/Military",6
"Affidavit",3
"Total Ballots",247
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",247
,
"Edward A. Mulraine",26
"Jamaal T. Bailey",109
"Alvin Ponder",11
"Pamela A. Hamilton-Johnson",58
"Que English",16
"FERNANDO CABRERA (Write-In)",1
,
,
,
"Total Votes",221
"Unrecorded",26

"Assembly District 80"
"Public Counter","1,527"
"Emergency",0
"Absentee/Military",76
"Affidavit",14
"Total Ballots","1,617"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,617"
,
"Edward A. Mulraine",133
"Jamaal T. Bailey",952
"Alvin Ponder",66
"Pamela A. Hamilton-Johnson",293
"Que English",134
"AMBER DRUMMOND (Write-In)",1
"ARMANDO RAMOS JR (Write-In)",1
"FERNANDO CABRERA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
,
,
,
"Total Votes","1,583"
"Unrecorded",34

"Assembly District 81"
"Public Counter",739
"Emergency",0
"Absentee/Military",23
"Affidavit",5
"Total Ballots",767
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",767
,
"Edward A. Mulraine",86
"Jamaal T. Bailey",399
"Alvin Ponder",40
"Pamela A. Hamilton-Johnson",143
"Que English",90
"RUBIN DIAZ JR (Write-In)",1
"RUTH THOMPSON (Write-In)",1
"WENDOLY MARTE (Write-In)",1
,
,
,
"Total Votes",761
"Unrecorded",6

"Assembly District 82"
"Public Counter","3,608"
"Emergency",0
"Absentee/Military",127
"Affidavit",12
"Total Ballots","3,747"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,747"
,
"Edward A. Mulraine",458
"Jamaal T. Bailey","2,147"
"Alvin Ponder",450
"Pamela A. Hamilton-Johnson",411
"Que English",261
"BRANDIE FOX (Write-In)",1
"KATRINA ASANTE (Write-In)",1
"MARISOL ALCANTARA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes","3,731"
"Unrecorded",16

"Assembly District 83"
"Public Counter","5,078"
"Emergency",0
"Absentee/Military",272
"Affidavit",21
"Total Ballots","5,371"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","5,371"
,
"Edward A. Mulraine",483
"Jamaal T. Bailey","3,331"
"Alvin Ponder",257
"Pamela A. Hamilton-Johnson",872
"Que English",381
"ANDY KING (Write-In)",1
"IVEOMA ONYEKWERE (Write-In)",1
"JIMMY CARTER (Write-In)",1
"KATRINA ASANTE (Write-In)",1
"ROBERT JACKSON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"WINTION O. YEARWOOD (Write-In)",1
,
,
,
"Total Votes","5,332"
"Unrecorded",39

"Total for Democratic State Senator (36th Senatorial District) - Bronx County"
"Public Counter","11,190"
"Emergency",0
"Absentee/Military",504
"Affidavit",55
"Total Ballots","11,749"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","11,749"
,
"Edward A. Mulraine","1,186"
"Jamaal T. Bailey","6,938"
"Alvin Ponder",824
"Pamela A. Hamilton-Johnson","1,777"
"Que English",882
"AMBER DRUMMOND (Write-In)",1
"ANDY KING (Write-In)",1
"ARMANDO RAMOS JR (Write-In)",1
"BRANDIE FOX (Write-In)",1
"FERNANDO CABRERA (Write-In)",2
"IVEOMA ONYEKWERE (Write-In)",1
"JIMMY CARTER (Write-In)",1
"KATRINA ASANTE (Write-In)",2
"MARISOL ALCANTARA (Write-In)",1
"ROBERT JACKSON (Write-In)",1
"RUBIN DIAZ JR (Write-In)",1
"RUTH THOMPSON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"WENDOLY MARTE (Write-In)",1
"WINTION O. YEARWOOD (Write-In)",1
,
,
,
"Total Votes","11,628"
"Unrecorded",121


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
