,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Bronx County
 - 
Democratic Party




Democratic Member of the City Council


17th Council District


Vote for 1"
"Assembly District 77"
"Public Counter",19
"Emergency",0
"Absentee/Military",1
"Affidavit",0
"Total Ballots",20
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",20
,
"Helen Hines",4
"Rafael Salamanca",12
,
,
,
"Total Votes",16
"Unrecorded",4

"Assembly District 79"
"Public Counter","1,534"
"Emergency",0
"Absentee/Military",72
"Affidavit",14
"Total Ballots","1,620"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,620"
,
"Helen Hines",568
"Rafael Salamanca",901
"JOSE G. CAMACHO (Write-In)",2
"MARISOL ALCANTRA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
"VICTOR PICHARDO (Write-In)",1
,
,
,
"Total Votes","1,475"
"Unrecorded",145

"Assembly District 84"
"Public Counter",876
"Emergency",0
"Absentee/Military",26
"Affidavit",8
"Total Ballots",910
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",910
,
"Helen Hines",276
"Rafael Salamanca",512
,
,
,
"Total Votes",788
"Unrecorded",122

"Assembly District 85"
"Public Counter","2,025"
"Emergency",0
"Absentee/Military",69
"Affidavit",14
"Total Ballots","2,108"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,108"
,
"Helen Hines",722
"Rafael Salamanca","1,115"
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",5
,
,
,
"Total Votes","1,842"
"Unrecorded",266

"Assembly District 86"
"Public Counter",1
"Emergency",0
"Absentee/Military",0
"Affidavit",1
"Total Ballots",2
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",2
,
"Helen Hines",2
"Rafael Salamanca",0
,
,
,
"Total Votes",2
,

"Assembly District 87"
"Public Counter",290
"Emergency",0
"Absentee/Military",8
"Affidavit",5
"Total Ballots",303
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",303
,
"Helen Hines",79
"Rafael Salamanca",168
,
,
,
"Total Votes",247
"Unrecorded",56

"Total for Democratic Member of the City Council (17th Council District) - Bronx County"
"Public Counter","4,745"
"Emergency",0
"Absentee/Military",176
"Affidavit",42
"Total Ballots","4,963"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,963"
,
"Helen Hines","1,651"
"Rafael Salamanca","2,708"
"JOSE G. CAMACHO (Write-In)",2
"MARISOL ALCANTRA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",5
"VICTOR PICHARDO (Write-In)",1
,
,
,
"Total Votes","4,370"
"Unrecorded",593


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
