,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Bronx County
 - 
Democratic Party




Democratic Member of the Assembly


78th Assembly District


Vote for 1"
"Assembly District 78"
"Public Counter","3,516"
"Emergency",0
"Absentee/Military",171
"Affidavit",36
"Total Ballots","3,723"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,723"
,
"Jose Rivera","2,236"
"Ischia J. Bravo","1,185"
"ADRIANO ESPALLAT (Write-In)",1
"BILL PERKINS (Write-In)",2
"HECTOR RAMIEZ (Write-In)",2
"HECTOR RAMIREZ (Write-In)",1
"JOSE A PADILLA JR. (Write-In)",1
"SAMELYS LOPEZ (Write-In)",1
"VICTOR M. PICHARDO (Write-In)",1
"VICTOR PICHARDO (Write-In)",1
,
,
,
"Total Votes","3,431"
"Unrecorded",292

"Total for Democratic Member of the Assembly (78th Assembly District) - Bronx County"
"Public Counter","3,516"
"Emergency",0
"Absentee/Military",171
"Affidavit",36
"Total Ballots","3,723"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,723"
,
"Jose Rivera","2,236"
"Ischia J. Bravo","1,185"
"ADRIANO ESPALLAT (Write-In)",1
"BILL PERKINS (Write-In)",2
"HECTOR RAMIEZ (Write-In)",2
"HECTOR RAMIREZ (Write-In)",1
"JOSE A PADILLA JR. (Write-In)",1
"SAMELYS LOPEZ (Write-In)",1
"VICTOR M. PICHARDO (Write-In)",1
"VICTOR PICHARDO (Write-In)",1
,
,
,
"Total Votes","3,431"
"Unrecorded",292


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
