"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"77","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Public Counter",7
"77","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Emergency",0
"77","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Absentee/Military",0
"77","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Affidavit",1
"77","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Jose Morell",3
"77","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Juan Rojas",5
"77","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Public Counter",33
"77","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Emergency",0
"77","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Absentee/Military",2
"77","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Affidavit",1
"77","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Jose Morell",17
"77","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Juan Rojas",14
"77","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Public Counter",68
"77","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Emergency",0
"77","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Absentee/Military",1
"77","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Affidavit",1
"77","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Jose Morell",20
"77","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Juan Rojas",21
"77","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Public Counter",27
"77","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Emergency",0
"77","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Absentee/Military",0
"77","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Affidavit",0
"77","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Jose Morell",13
"77","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","77",1,"Juan Rojas",9
