,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Bronx County
 - 
Democratic Party




Democratic Male State Committee


77th Assembly District


Vote for 1"
"Assembly District 77"
"Public Counter","3,417"
"Emergency",0
"Absentee/Military",141
"Affidavit",31
"Total Ballots","3,589"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,589"
,
"Jose Morell","1,226"
"Juan Rojas","1,437"
"CARLOS SIERRA (Write-In)",1
"FERNANDO CABRERA (Write-In)",3
"GUSTVAVO RIVERA (Write-In)",1
"HECTOR MARTINEZ (Write-In)",1
"HECTOR RAMIREZ (Write-In)",2
"PHILLIP GEORGE (Write-In)",1
"ROSA MCGHEE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",4
"VICTOR PICHARDO (Write-In)",1
,
,
,
"Total Votes","2,681"
"Unrecorded",908

"Total for Democratic Male State Committee (77th Assembly District) - Bronx County"
"Public Counter","3,417"
"Emergency",0
"Absentee/Military",141
"Affidavit",31
"Total Ballots","3,589"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,589"
,
"Jose Morell","1,226"
"Juan Rojas","1,437"
"CARLOS SIERRA (Write-In)",1
"FERNANDO CABRERA (Write-In)",3
"GUSTVAVO RIVERA (Write-In)",1
"HECTOR MARTINEZ (Write-In)",1
"HECTOR RAMIREZ (Write-In)",2
"PHILLIP GEORGE (Write-In)",1
"ROSA MCGHEE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",4
"VICTOR PICHARDO (Write-In)",1
,
,
,
"Total Votes","2,681"
"Unrecorded",908


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
