"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"85","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Public Counter",61
"85","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Emergency",0
"85","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Absentee/Military",1
"85","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Affidavit",1
"85","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Aziza N. Lowrance",9
"85","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Nelly Medina",37
"85","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Public Counter",42
"85","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Emergency",0
"85","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Absentee/Military",4
"85","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Affidavit",0
"85","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Aziza N. Lowrance",8
"85","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Nelly Medina",27
"85","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Scattered",1
"85","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Public Counter",58
"85","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Emergency",0
"85","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Absentee/Military",2
"85","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Affidavit",1
"85","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Aziza N. Lowrance",10
"85","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Nelly Medina",32
"85","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Public Counter",32
"85","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Emergency",0
"85","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","85",1,"Absentee/Military",1
