,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Bronx County
 - 
Democratic Party




Democratic Male District Leader


Democratic Leadership District 84


Vote for 1"
"Assembly District 84"
"Public Counter","3,202"
"Emergency",0
"Absentee/Military",133
"Affidavit",33
"Total Ballots","3,368"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,368"
,
"Israel Martinez","1,702"
"Shannon Olivaria",812
"ARTHUR MYCHAL JOHNSON (Write-In)",3
"DELTS GREGORYA (Write-In)",2
"ESTHER ASANTE (Write-In)",1
"MAXIMINO RIVERA (Write-In)",2
,
,
,
"Total Votes","2,522"
"Unrecorded",846

"Total for Democratic Male District Leader (Democratic Leadership District 84) - Bronx County"
"Public Counter","3,202"
"Emergency",0
"Absentee/Military",133
"Affidavit",33
"Total Ballots","3,368"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,368"
,
"Israel Martinez","1,702"
"Shannon Olivaria",812
"ARTHUR MYCHAL JOHNSON (Write-In)",3
"DELTS GREGORYA (Write-In)",2
"ESTHER ASANTE (Write-In)",1
"MAXIMINO RIVERA (Write-In)",2
,
,
,
"Total Votes","2,522"
"Unrecorded",846


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
