"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"85","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Public Counter",61
"85","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Emergency",0
"85","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Absentee/Military",1
"85","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Affidavit",1
"85","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Michael Beltzer",14
"85","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Joseph Cepeda",2
"85","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Marcos A. Crespo",41
"85","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Public Counter",42
"85","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Emergency",0
"85","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Absentee/Military",4
"85","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Affidavit",0
"85","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Michael Beltzer",6
"85","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Joseph Cepeda",4
"85","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Marcos A. Crespo",34
"85","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Public Counter",58
"85","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Emergency",0
"85","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Absentee/Military",2
"85","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Affidavit",1
"85","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Michael Beltzer",19
"85","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Joseph Cepeda",2
"85","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Marcos A. Crespo",37
"85","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Public Counter",32
"85","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Emergency",0
"85","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Absentee/Military",1
"85","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Affidavit",0
"85","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Michael Beltzer",8
"85","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Joseph Cepeda",5
"85","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Marcos A. Crespo",18
"85","005","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Public Counter",18
"85","005","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Emergency",0
"85","005","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Absentee/Military",0
"85","005","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Affidavit",0
"85","005","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Michael Beltzer",2
"85","005","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Joseph Cepeda",4
"85","005","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Marcos A. Crespo",9
"85","006","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Public Counter",21
"85","006","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Emergency",0
"85","006","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Absentee/Military",2
"85","006","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Affidavit",0
"85","006","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Michael Beltzer",4
"85","006","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Joseph Cepeda",1
"85","006","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Marcos A. Crespo",17
"85","007","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Public Counter",45
"85","007","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Emergency",0
"85","007","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Absentee/Military",0
"85","007","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Affidavit",0
"85","007","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Michael Beltzer",1
"85","007","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Joseph Cepeda",5
"85","007","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Marcos A. Crespo",37
"85","008","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Public Counter",34
"85","008","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Emergency",0
"85","008","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Absentee/Military",0
"85","008","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Affidavit",0
"85","008","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Michael Beltzer",4
"85","008","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Joseph Cepeda",0
"85","008","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","85",1,"Marcos A. Crespo",26
