"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"78","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Public Counter",89
"78","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Emergency",0
"78","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Absentee/Military",2
"78","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Affidavit",0
"78","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Samelys Lopez",28
"78","001","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Nilda Velazquez",50
"78","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Public Counter",125
"78","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Emergency",0
"78","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Absentee/Military",4
"78","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Affidavit",2
"78","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Samelys Lopez",30
"78","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Nilda Velazquez",72
"78","002","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Scattered",1
"78","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Public Counter",45
"78","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Emergency",0
"78","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Absentee/Military",0
"78","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Affidavit",0
"78","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Samelys Lopez",14
"78","003","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Nilda Velazquez",26
"78","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Public Counter",88
"78","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Emergency",0
"78","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Absentee/Military",7
"78","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Affidavit",0
"78","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Samelys Lopez",24
"78","004","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Nilda Velazquez",63
"78","005","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Public Counter",80
"78","005","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Emergency",0
"78","005","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Absentee/Military",4
"78","005","Bronx","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","78",1,"Affidavit",0
