,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Bronx County
 - 
Democratic Party




Democratic Delegate to Judicial Convention


84th Assembly District


Vote for 5"
"Assembly District 84"
"Public Counter","3,202"
"Emergency",0
"Absentee/Military",133
"Affidavit",33
"Total Ballots","3,368"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,368"
,
"Maria Del Carmen Arroyo","1,582"
"Carmen E. Arroyo","1,547"
"Carmen Aquino",832
"Carlos Sierra","1,048"
"Ralina M. Cardona",685
"Francis Sosa",906
"Carmen Checo",694
"Carlton A. Curry",730
"Maria Gonzalez","1,180"
"Hector Cruz","1,257"
"ANGEL LOPEZ (Write-In)",2
"ANGEL MOLINA (Write-In)",1
"ARTHUR MYCHAL JOHNSON (Write-In)",4
"CARLOS FLYNN (Write-In)",1
"CHERYL WILLIAMS-MURRAY (Write-In)",1
"CLAUDIA RAHMAN (Write-In)",1
"CORRINE KOHUT (Write-In)",1
"DON DUNN (Write-In)",1
"DON LEE (Write-In)",1
"FLORENCE HOWARD (Write-In)",1
"HARRY BUBBINS (Write-In)",2
"ISRAEL MARTINEZ (Write-In)",1
"JACKSON STRONG (Write-In)",3
"JASON STRONG (Write-In)",1
"LIBERTAD GUERRA (Write-In)",1
"MAGALYS PEREZ (Write-In)",1
"MELISSA BARBER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",7
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",4
,
,
,
"Total Votes","10,496"
"Unrecorded","6,344"

"Total for Democratic Delegate to Judicial Convention (84th Assembly District) - Bronx County"
"Public Counter","3,202"
"Emergency",0
"Absentee/Military",133
"Affidavit",33
"Total Ballots","3,368"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,368"
,
"Maria Del Carmen Arroyo","1,582"
"Carmen E. Arroyo","1,547"
"Carmen Aquino",832
"Carlos Sierra","1,048"
"Ralina M. Cardona",685
"Francis Sosa",906
"Carmen Checo",694
"Carlton A. Curry",730
"Maria Gonzalez","1,180"
"Hector Cruz","1,257"
"ANGEL LOPEZ (Write-In)",2
"ANGEL MOLINA (Write-In)",1
"ARTHUR MYCHAL JOHNSON (Write-In)",4
"CARLOS FLYNN (Write-In)",1
"CHERYL WILLIAMS-MURRAY (Write-In)",1
"CLAUDIA RAHMAN (Write-In)",1
"CORRINE KOHUT (Write-In)",1
"DON DUNN (Write-In)",1
"DON LEE (Write-In)",1
"FLORENCE HOWARD (Write-In)",1
"HARRY BUBBINS (Write-In)",2
"ISRAEL MARTINEZ (Write-In)",1
"JACKSON STRONG (Write-In)",3
"JASON STRONG (Write-In)",1
"LIBERTAD GUERRA (Write-In)",1
"MAGALYS PEREZ (Write-In)",1
"MELISSA BARBER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",7
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",4
,
,
,
"Total Votes","10,496"
"Unrecorded","6,344"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
