,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Bronx County
 - 
Democratic Party




Democratic Alternate Delegate to the Judicial Convention


77th Assembly District


Vote for 6"
"Assembly District 77"
"Public Counter","3,417"
"Emergency",0
"Absentee/Military",141
"Affidavit",31
"Total Ballots","3,589"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,589"
,
"Sandra Thomas","1,714"
"Petrona Graham",789
"Earnestine Glover","1,043"
"Arlene Hall-Waisburd",804
"Delores Dewitt","1,080"
"Ruby Santana","1,503"
"Antoinette Hill",776
"David N. George Sr.",656
"Rodney Thompson Jr.",849
"Sandra Soures",713
"Joel Usher",622
"BARAK OBAMA (Write-In)",1
"BERNICE WILLIAMS (Write-In)",1
"CHUCK SCHUMER (Write-In)",1
"KHADIJAH MCGHEE (Write-In)",1
"LATOYA JOYNER (Write-In)",1
"RICHIE TORRES (Write-In)",1
"ROSA MCGHEE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",9
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",9
,
,
,
"Total Votes","10,574"
"Unrecorded","10,960"

"Total for Democratic Alternate Delegate to the Judicial Convention (77th Assembly District) - Bronx County"
"Public Counter","3,417"
"Emergency",0
"Absentee/Military",141
"Affidavit",31
"Total Ballots","3,589"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,589"
,
"Sandra Thomas","1,714"
"Petrona Graham",789
"Earnestine Glover","1,043"
"Arlene Hall-Waisburd",804
"Delores Dewitt","1,080"
"Ruby Santana","1,503"
"Antoinette Hill",776
"David N. George Sr.",656
"Rodney Thompson Jr.",849
"Sandra Soures",713
"Joel Usher",622
"BARAK OBAMA (Write-In)",1
"BERNICE WILLIAMS (Write-In)",1
"CHUCK SCHUMER (Write-In)",1
"KHADIJAH MCGHEE (Write-In)",1
"LATOYA JOYNER (Write-In)",1
"RICHIE TORRES (Write-In)",1
"ROSA MCGHEE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",9
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",9
,
,
,
"Total Votes","10,574"
"Unrecorded","10,960"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
