"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Public Counter",330
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Emergency",0
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Absentee/Military",2
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Federal",1
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Affidavit",16
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Jackie Sheeler (F) - Pledged to support Sanders",68
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Bill Perkins (M) - Pledged to support Sanders",65
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Marisol Alcantara (F) - Pledged to support Sanders",65
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Harold S. Forsyth (M) - Pledged to support Sanders",52
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Betzabeth Sanchez (F) - Pledged to support Sanders",65
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Nicolas Dedual (M) - Pledged to support Sanders",48
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Keith Wright (M) - Pledged to support Clinton",190
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Inez E. Dickens (F) - Pledged to support Clinton",185
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Ydanis Rodriguez (M) - Pledged to support Clinton",188
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Maria Luna (F) - Pledged to support Clinton",178
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Londel Davis (M) - Pledged to support Clinton",174
"77","023","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Vanessa L. Gibson (F) - Pledged to support Clinton",227
"77","024","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Public Counter",252
"77","024","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Emergency",0
"77","024","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Absentee/Military",1
"77","024","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Federal",0
"77","024","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Affidavit",14
"77","024","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Jackie Sheeler (F) - Pledged to support Sanders",39
"77","024","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Bill Perkins (M) - Pledged to support Sanders",39
"77","024","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Marisol Alcantara (F) - Pledged to support Sanders",36
"77","024","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Harold S. Forsyth (M) - Pledged to support Sanders",31
"77","024","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Betzabeth Sanchez (F) - Pledged to support Sanders",37
"77","024","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Nicolas Dedual (M) - Pledged to support Sanders",30
"77","024","Bronx","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","13",6,"Keith Wright (M) - Pledged to support Clinton",160
