,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Bronx County
 - 
Democratic Party




Democratic Delegate to National Convention


14th Congressional District


Vote for 7"
"14th Congressional District"
"Assembly District 78"
"Public Counter",466
"Emergency",0
"Absentee/Military",17
"Federal",2
"Affidavit",19
"Total Ballots",504
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",504.00
,
"Josephine Heck (F) - Pledged to support Sanders",148
"William F. Henning (M) - Pledged to support Sanders",136
"Staceyann Deleon (F) - Pledged to support Sanders",150
"Helene Busby (F) - Pledged to support Sanders",141
"Ron Suarez (M) - Pledged to support Sanders",157
"Julissa Ferreras (F) - Pledged to support Clinton",280
"Michael Gianaris (M) - Pledged to support Clinton",253
"Annabel Palma (F) - Pledged to support Clinton",266
"James Vacca (M) - Pledged to support Clinton",288
"Anne Marie Anzalone (F) - Pledged to support Clinton",257
"Francisco P. Moya (M) - Pledged to support Clinton",253
"Aleatha Williams (F) - Pledged to support Clinton",256
,
,
,
"Total Votes","2,585"
"Unrecorded",943

"Assembly District 80"
"Public Counter","7,536"
"Emergency",0
"Absentee/Military",238
"Federal",31
"Affidavit",388
"Total Ballots","8,193"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","8,193.00"
,
"Josephine Heck (F) - Pledged to support Sanders","2,378"
"William F. Henning (M) - Pledged to support Sanders","2,240"
"Staceyann Deleon (F) - Pledged to support Sanders","2,509"
"Helene Busby (F) - Pledged to support Sanders","2,208"
"Ron Suarez (M) - Pledged to support Sanders","2,395"
"Julissa Ferreras (F) - Pledged to support Clinton","4,115"
"Michael Gianaris (M) - Pledged to support Clinton","3,587"
"Annabel Palma (F) - Pledged to support Clinton","3,825"
"James Vacca (M) - Pledged to support Clinton","4,410"
"Anne Marie Anzalone (F) - Pledged to support Clinton","3,527"
"Francisco P. Moya (M) - Pledged to support Clinton","3,600"
"Aleatha Williams (F) - Pledged to support Clinton","3,733"
,
,
,
"Total Votes","38,527"
"Unrecorded","18,824"

"Assembly District 82"
"Public Counter","7,203"
"Emergency",0
"Absentee/Military",129
"Federal",27
"Affidavit",335
"Total Ballots","7,694"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","7,694.00"
,
"Josephine Heck (F) - Pledged to support Sanders","2,632"
"William F. Henning (M) - Pledged to support Sanders","2,477"
"Staceyann Deleon (F) - Pledged to support Sanders","2,744"
"Helene Busby (F) - Pledged to support Sanders","2,480"
"Ron Suarez (M) - Pledged to support Sanders","2,688"
"Julissa Ferreras (F) - Pledged to support Clinton","3,522"
"Michael Gianaris (M) - Pledged to support Clinton","3,062"
"Annabel Palma (F) - Pledged to support Clinton","3,371"
"James Vacca (M) - Pledged to support Clinton","4,343"
"Anne Marie Anzalone (F) - Pledged to support Clinton","3,103"
"Francisco P. Moya (M) - Pledged to support Clinton","3,074"
"Aleatha Williams (F) - Pledged to support Clinton","3,043"
,
,
,
"Total Votes","36,539"
"Unrecorded","17,319"

"Assembly District 85"
"Public Counter",0
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",0
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",0.00
,
"Josephine Heck (F) - Pledged to support Sanders",0
"William F. Henning (M) - Pledged to support Sanders",0
