,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Bronx County
 - 
Democratic Party




Democratic County Committee


038/78


Vote for 3"
"Assembly District 78"
"Public Counter",75
"Emergency",0
"Absentee/Military",3
"Affidavit",1
"Total Ballots",79
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",79
,
"Dimitrios Loannidis",13
"Sarahi Gonzalez",31
"Leonore Rosario",23
"Samelys Lopez",47
,
,
,
"Total Votes",114
"Unrecorded",123

"Total for Democratic County Committee (038/78) - Bronx County"
"Public Counter",75
"Emergency",0
"Absentee/Military",3
"Affidavit",1
"Total Ballots",79
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",79
,
"Dimitrios Loannidis",13
"Sarahi Gonzalez",31
"Leonore Rosario",23
"Samelys Lopez",47
,
,
,
"Total Votes",114
"Unrecorded",123


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Deputy Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
