,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Kings County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1"
"7th Congressional District"
"Assembly District 44"
"Public Counter",196
"Emergency",0
"Absentee/Military",1
"Federal",1
"Affidavit",11
"Total Ballots",209
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",209.00
,
"Bernie Sanders",102
"Hillary Clinton",105
,
,
,
"Total Votes",207
"Unrecorded",2

"Assembly District 48"
"Public Counter",19
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",19
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",19.00
,
"Bernie Sanders",10
"Hillary Clinton",8
,
,
,
"Total Votes",18
"Unrecorded",1

"Assembly District 49"
"Public Counter",995
"Emergency",0
"Absentee/Military",23
"Federal",7
"Affidavit",19
"Total Ballots","1,044"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,044.00"
,
"Bernie Sanders",480
"Hillary Clinton",553
,
,
,
"Total Votes","1,033"
"Unrecorded",11

"Assembly District 50"
"Public Counter","3,655"
"Emergency",0
"Absentee/Military",65
"Federal",15
"Affidavit",138
"Total Ballots","3,873"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,873.00"
,
"Bernie Sanders","1,803"
"Hillary Clinton","2,031"
,
,
,
"Total Votes","3,834"
"Unrecorded",39

"Assembly District 51"
"Public Counter","9,468"
"Emergency",0
"Absentee/Military",159
"Federal",28
"Affidavit",310
"Total Ballots","9,965"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,965.00"
,
"Bernie Sanders","4,787"
"Hillary Clinton","5,081"
,
,
,
"Total Votes","9,868"
"Unrecorded",97

"Assembly District 52"
"Public Counter","23,257"
"Emergency",0
"Absentee/Military",703
"Federal",190
"Affidavit",737
"Total Ballots","24,887"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","24,887.00"
,
"Bernie Sanders","9,559"
"Hillary Clinton","15,230"
,
,
,
"Total Votes","24,789"
"Unrecorded",98

"Assembly District 53"
"Public Counter","15,174"
"Emergency",63
"Absentee/Military",247
"Federal",31
"Affidavit",519
"Total Ballots","16,034"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","16,034.00"
,
"Bernie Sanders","7,979"
"Hillary Clinton","7,895"
,
,
,
"Total Votes","15,874"
"Unrecorded",160

"Assembly District 54"
"Public Counter","7,245"
"Emergency",0
"Absentee/Military",73
"Federal",8
"Affidavit",267
"Total Ballots","7,593"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","7,593.00"
,
"Bernie Sanders","3,030"
"Hillary Clinton","4,483"
,
,
,
"Total Votes","7,513"
"Unrecorded",80

"Assembly District 55"
"Public Counter",257
"Emergency",0
"Absentee/Military",14
"Federal",0
"Affidavit",10
"Total Ballots",281
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",281.00
,
"Bernie Sanders",90
"Hillary Clinton",189
,
,
,
"Total Votes",279
"Unrecorded",2

"Assembly District 56"
"Public Counter",547
"Emergency",0
"Absentee/Military",8
"Federal",0
"Affidavit",11
"Total Ballots",566
"Less - Inapplicable Federal/Special Presidential Ballots",0
