,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Judge of the Civil Court - County


Kings


Vote for 1"
"Assembly District 41"
"Public Counter","2,035"
"Emergency",0
"Absentee/Military",167
"Affidavit",12
"Total Ballots","2,214"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,214"
,
"Odessa Kennedy","1,143"
"Consuelo M. Melendez",814
"ALLEN S. POPPER (Write-In)",1
"ARTHUR GRUENER (Write-In)",2
"DICK MANN (Write-In)",1
"DINA DOUGLAS (Write-In)",1
"FRED NOCHBAUM (Write-In)",1
"PIETER MULDER (Write-In)",1
"RACHEL E. FREIER (Write-In)",1
"ROXANNE PERSAUD (Write-In)",1
"SAMUEL RUBINSTEIN (Write-In)",1
"STEPHANIE L SANDLER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",5
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","1,974"
"Unrecorded",240

"Assembly District 42"
"Public Counter","3,186"
"Emergency",0
"Absentee/Military",175
"Affidavit",9
"Total Ballots","3,370"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,370"
,
"Odessa Kennedy","1,815"
"Consuelo M. Melendez",994
"AARON BLINDER (Write-In)",1
"CHANOTTE LUBLING (Write-In)",1
"MICHAEL WILLIAMS (Write-In)",1
"OLIVIA SOHMER (Write-In)",1
"RUTH RIDDICK (Write-In)",1
"SYLVIA LERNER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",7
,
,
,
"Total Votes","2,822"
"Unrecorded",548

"Assembly District 43"
"Public Counter","3,803"
"Emergency",0
"Absentee/Military",223
"Affidavit",35
"Total Ballots","4,061"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,061"
,
"Odessa Kennedy","2,082"
"Consuelo M. Melendez","1,745"
"BERNIE SANDERS (Write-In)",1
"MENDY MENDOLIAN (Write-In)",1
"ROY MOORE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",6
"VELMANETTE MONTGOMERY (Write-In)",1
,
,
,
"Total Votes","3,837"
"Unrecorded",224

"Assembly District 44"
"Public Counter","6,773"
"Emergency",0
"Absentee/Military",206
"Affidavit",38
"Total Ballots","7,017"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","7,017"
,
"Odessa Kennedy","3,408"
"Consuelo M. Melendez","2,317"
"AARON GRANS (Write-In)",1
"ABRAHAM ROSE (Write-In)",1
"ALVIN A. LIU (Write-In)",1
"ANDREA MOLETERRI (Write-In)",1
"ANGELA SUNG (Write-In)",1
