,
"Statement and Return Report

for Certification



Federal Primary - 06/28/2016


Kings County
 - 
Democratic Party




Democratic Representative in Congress


7th Congressional District


Vote for 1"
"Assembly District 44"
"Public Counter",29
"Emergency",0
"Absentee/Military",0
"Federal",2
"Affidavit",0
"Total Ballots",31
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",31
,
"Yungman F. Lee",10
"Jeffrey M. Kurzon",2
"Nydia M. Velazquez",19
,
,
,
"Total Votes",31
,

"Assembly District 48"
"Public Counter",12
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",12
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",12
,
"Yungman F. Lee",12
"Jeffrey M. Kurzon",0
"Nydia M. Velazquez",0
,
,
,
"Total Votes",12
,

"Assembly District 49"
"Public Counter",490
"Emergency",0
"Absentee/Military",11
"Federal",5
"Affidavit",7
"Total Ballots",513
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",513
,
"Yungman F. Lee",350
"Jeffrey M. Kurzon",33
"Nydia M. Velazquez",123
"ANGEL LUIS RAMON (Write-In)",1
"IRMA RAMOS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"ZEPHYR TEACHOUT (Write-In)",1
,
,
,
"Total Votes",512
"Unrecorded",1

"Assembly District 50"
"Public Counter",763
"Emergency",0
"Absentee/Military",28
"Federal",9
"Affidavit",6
"Total Ballots",806
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",806
,
"Yungman F. Lee",63
"Jeffrey M. Kurzon",65
"Nydia M. Velazquez",671
"DANIEL BOWMAN SIMON (Write-In)",1
"DAVID FRIED (Write-In)",1
"ELANIE WILSON (Write-In)",1
"MEIR PERL (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
"ZEPHYR TEACHOUT (Write-In)",1
,
,
,
"Total Votes",806
,

"Assembly District 51"
"Public Counter","1,820"
"Emergency",0
"Absentee/Military",67
"Federal",13
"Affidavit",10
"Total Ballots","1,910"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,910"
,
"Yungman F. Lee",460
"Jeffrey M. Kurzon",207
"Nydia M. Velazquez","1,223"
"CHRISTOPHER MORIARTY (Write-In)",1
"KATHLEEN DAVIS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",10
,
,
,
"Total Votes","1,902"
"Unrecorded",8

"Assembly District 52"
"Public Counter","3,742"
"Emergency",0
"Absentee/Military",241
"Federal",92
"Affidavit",10
"Total Ballots","4,085"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,085"
,
"Yungman F. Lee",717
"Jeffrey M. Kurzon",594
"Nydia M. Velazquez","2,755"
"DANIEL MAICA (Write-In)",1
"DOUG GORDON (Write-In)",1
"EVAN PELLEGRINO (Write-In)",1
"JENNIFER FARRELLY (Write-In)",1
"PETE SIKORA (Write-In)",1
"PHIL WALZAK (Write-In)",1
"SANDRA JEFFERSON (Write-In)",2
,
,
,
"Total Votes","4,074"
"Unrecorded",11

"Assembly District 53"
"Public Counter","2,787"
"Emergency",0
"Absentee/Military",54
"Federal",15
"Affidavit",19
"Total Ballots","2,875"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,875"
,
"Yungman F. Lee",510
"Jeffrey M. Kurzon",265
"Nydia M. Velazquez","2,074"
"A'ALON DAWSON (Write-In)",1
"ANA J MOSSOAD (Write-In)",1
"DONALD TRUMP (Write-In)",1
"KAIA MCLOMB (Write-In)",1
"RABBI NYCHEM ROSENBERG (Write-In)",1
"ROBERT JOHNSON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",13
,
,
,
"Total Votes","2,868"
"Unrecorded",7

"Assembly District 54"
"Public Counter","1,032"
"Emergency",0
"Absentee/Military",24
"Federal",5
"Affidavit",4
"Total Ballots","1,065"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,065"
,
"Yungman F. Lee",94
"Jeffrey M. Kurzon",95
"Nydia M. Velazquez",863
"ADRIANO ESPAILLAT (Write-In)",2
"UNATTRIBUTABLE WRITE-IN (Write-In)",5
"VICTOR ESCABERS (Write-In)",1
,
,
,
"Total Votes","1,060"
"Unrecorded",5

"Assembly District 55"
"Public Counter",20
"Emergency",0
"Absentee/Military",17
"Federal",0
"Affidavit",0
"Total Ballots",37
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",37
,
"Yungman F. Lee",4
"Jeffrey M. Kurzon",12
"Nydia M. Velazquez",21
,
,
,
"Total Votes",37
,

"Assembly District 56"
"Public Counter",50
"Emergency",0
"Absentee/Military",4
"Federal",0
"Affidavit",0
"Total Ballots",54
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",54
,
"Yungman F. Lee",5
"Jeffrey M. Kurzon",5
"Nydia M. Velazquez",44
,
,
,
"Total Votes",54
,

"Total for Democratic Representative in Congress (7th Congressional District) - Kings County"
"Public Counter","10,745"
"Emergency",0
"Absentee/Military",446
"Federal",141
"Affidavit",56
"Total Ballots","11,388"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","11,388"
,
"Yungman F. Lee","2,225"
"Jeffrey M. Kurzon","1,278"
"Nydia M. Velazquez","7,793"
"A'ALON DAWSON (Write-In)",1
"ADRIANO ESPAILLAT (Write-In)",2
"ANA J MOSSOAD (Write-In)",1
"ANGEL LUIS RAMON (Write-In)",1
"CHRISTOPHER MORIARTY (Write-In)",1
"DANIEL BOWMAN SIMON (Write-In)",1
"DANIEL MAICA (Write-In)",1
"DAVID FRIED (Write-In)",1
"DONALD TRUMP (Write-In)",1
"DOUG GORDON (Write-In)",1
"ELANIE WILSON (Write-In)",1
"EVAN PELLEGRINO (Write-In)",1
"IRMA RAMOS (Write-In)",1
"JENNIFER FARRELLY (Write-In)",1
"KAIA MCLOMB (Write-In)",1
"KATHLEEN DAVIS (Write-In)",1
"MEIR PERL (Write-In)",1
"PETE SIKORA (Write-In)",1
"PHIL WALZAK (Write-In)",1
"RABBI NYCHEM ROSENBERG (Write-In)",1
"ROBERT JOHNSON (Write-In)",1
"SANDRA JEFFERSON (Write-In)",2
"UNATTRIBUTABLE WRITE-IN (Write-In)",33
"VICTOR ESCABERS (Write-In)",1
"ZEPHYR TEACHOUT (Write-In)",2
,
,
,
"Total Votes","11,356"
"Unrecorded",32


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
