,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic State Senator


18th Senatorial District


Vote for 1"
"Assembly District 50"
"Public Counter","1,823"
"Emergency",0
"Absentee/Military",28
"Affidavit",9
"Total Ballots","1,860"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,860"
,
"Debbie Medina",953
"Martin Malave Dilan",822
"C GROOS (Write-In)",1
"JERED CULTEN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
"V. MONTGOMERY (Write-In)",1
,
,
,
"Total Votes","1,780"
"Unrecorded",80

"Assembly District 53"
"Public Counter","4,395"
"Emergency",0
"Absentee/Military",71
"Affidavit",29
"Total Ballots","4,495"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,495"
,
"Debbie Medina","1,738"
"Martin Malave Dilan","2,279"
"DAMIEN MITTLEFEHLDT (Write-In)",1
"DON LEE (Write-In)",1
"FERNANDO CABRERA (Write-In)",1
"LEE JZANG BAO (Write-In)",1
"LEONORA MURPHY (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
,
,
,
"Total Votes","4,030"
"Unrecorded",465

"Assembly District 54"
"Public Counter","2,690"
"Emergency",0
"Absentee/Military",71
"Affidavit",21
"Total Ballots","2,782"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,782"
,
"Debbie Medina",792
"Martin Malave Dilan","1,940"
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
,
,
,
"Total Votes","2,740"
"Unrecorded",42

"Assembly District 55"
"Public Counter",496
"Emergency",0
"Absentee/Military",7
"Affidavit",7
"Total Ballots",510
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",510
,
"Debbie Medina",175
"Martin Malave Dilan",281
,
,
,
"Total Votes",456
"Unrecorded",54

"Assembly District 56"
"Public Counter",784
"Emergency",0
"Absentee/Military",11
"Affidavit",10
"Total Ballots",805
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",805
,
"Debbie Medina",293
"Martin Malave Dilan",447
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes",741
"Unrecorded",64

"Assembly District 60"
"Public Counter",121
"Emergency",0
"Absentee/Military",3
"Affidavit",0
"Total Ballots",124
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",124
,
"Debbie Medina",37
"Martin Malave Dilan",75
"MERCEDES NARCISSE (Write-In)",3
"ROXANNE J PERSAUD (Write-In)",4
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes",120
"Unrecorded",4

"Total for Democratic State Senator (18th Senatorial District) - Kings County"
"Public Counter","10,309"
"Emergency",0
"Absentee/Military",191
"Affidavit",76
"Total Ballots","10,576"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","10,576"
,
"Debbie Medina","3,988"
"Martin Malave Dilan","5,844"
"C GROOS (Write-In)",1
"DAMIEN MITTLEFEHLDT (Write-In)",1
"DON LEE (Write-In)",1
"FERNANDO CABRERA (Write-In)",1
"JERED CULTEN (Write-In)",1
"LEE JZANG BAO (Write-In)",1
"LEONORA MURPHY (Write-In)",1
"MERCEDES NARCISSE (Write-In)",3
"ROXANNE J PERSAUD (Write-In)",4
"UNATTRIBUTABLE WRITE-IN (Write-In)",20
"V. MONTGOMERY (Write-In)",1
,
,
,
"Total Votes","9,867"
"Unrecorded",709


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
