,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Member of the Assembly


42nd Assembly District


Vote for 1"
"Assembly District 42"
"Public Counter","3,186"
"Emergency",0
"Absentee/Military",175
"Affidavit",9
"Total Ballots","3,370"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,370"
,
"Rodneyse Bichotte","2,471"
"Victor A. Jordan",666
"BERNIE SANDERS (Write-In)",1
"CHAROTTE LUBRING (Write-In)",1
"DAVID J. ROSENBERG (Write-In)",1
"JENNIFER M. BERKLEY (Write-In)",1
"SYLVIA LERNER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
,
,
,
"Total Votes","3,145"
"Unrecorded",225

"Total for Democratic Member of the Assembly (42nd Assembly District) - Kings County"
"Public Counter","3,186"
"Emergency",0
"Absentee/Military",175
"Affidavit",9
"Total Ballots","3,370"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,370"
,
"Rodneyse Bichotte","2,471"
"Victor A. Jordan",666
"BERNIE SANDERS (Write-In)",1
"CHAROTTE LUBRING (Write-In)",1
"DAVID J. ROSENBERG (Write-In)",1
"JENNIFER M. BERKLEY (Write-In)",1
"SYLVIA LERNER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
,
,
,
"Total Votes","3,145"
"Unrecorded",225


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
