,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Member of the Assembly


56th Assembly District


Vote for 1"
"Assembly District 56"
"Public Counter","6,490"
"Emergency",0
"Absentee/Military",189
"Affidavit",40
"Total Ballots","6,719"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,719"
,
"Karen Z. Cherry","2,698"
"Tremaine S. Wright","3,876"
"ANNETTE ROBINSON (Write-In)",1
"DARLENE MEALY (Write-In)",3
"ISAIAH BATTS (Write-In)",1
"KENNETH WARD (Write-In)",1
"LATRICE WALKER (Write-In)",1
"LINDA T. MINUCCI (Write-In)",1
"MICHAEL G. COX (Write-In)",1
"SABINE FRENCH (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","6,593"
"Unrecorded",126

"Total for Democratic Member of the Assembly (56th Assembly District) - Kings County"
"Public Counter","6,490"
"Emergency",0
"Absentee/Military",189
"Affidavit",40
"Total Ballots","6,719"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,719"
,
"Karen Z. Cherry","2,698"
"Tremaine S. Wright","3,876"
"ANNETTE ROBINSON (Write-In)",1
"DARLENE MEALY (Write-In)",3
"ISAIAH BATTS (Write-In)",1
"KENNETH WARD (Write-In)",1
"LATRICE WALKER (Write-In)",1
"LINDA T. MINUCCI (Write-In)",1
"MICHAEL G. COX (Write-In)",1
"SABINE FRENCH (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","6,593"
"Unrecorded",126


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
