"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"50","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Public Counter",29
"50","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Emergency",0
"50","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Absentee/Military",0
"50","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Affidavit",1
"50","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Edward Irizarry",0
"50","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Susan Quirk",28
"50","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Public Counter",38
"50","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Emergency",0
"50","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Absentee/Military",1
"50","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Affidavit",1
"50","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Edward Irizarry",13
"50","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Susan Quirk",24
"50","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Public Counter",44
"50","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Emergency",0
"50","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Absentee/Military",0
"50","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Affidavit",0
"50","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Edward Irizarry",10
"50","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Susan Quirk",28
"50","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Public Counter",6
"50","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Emergency",0
"50","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Absentee/Military",0
"50","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Affidavit",0
"50","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Edward Irizarry",1
"50","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Susan Quirk",5
"50","005","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Public Counter",74
"50","005","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Emergency",0
"50","005","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Judge of the Civil Court - District","1203",1,"Absentee/Military",0
