,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Judge of the Civil Court - District


3rd Municipal Court District - Kings


Vote for 1"
"Assembly District 50"
"Public Counter","3,629"
"Emergency",0
"Absentee/Military",80
"Affidavit",27
"Total Ballots","3,736"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,736"
,
"Edward Irizarry",660
"Susan Quirk","2,700"
"BAILA WANCHTZIZ (Write-In)",1
"CARMEN BONILLA (Write-In)",2
"H WEBER (Write-In)",1
"JIM MORRISON (Write-In)",1
"MARTIN DIGARY (Write-In)",1
"MARTIN MALAVE DILAN (Write-In)",2
"MARTIN TELTELBOURN (Write-In)",1
"MELISSA JANAE (Write-In)",1
"NUCHEM ROSENBERG (Write-In)",1
"RACHEL FREIER (Write-In)",1
"RYAN STANA (Write-In)",1
"S KRUSE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
"WILLIAM PRZYLUCKI (Write-In)",1
,
,
,
"Total Votes","3,383"
"Unrecorded",353

"Assembly District 53"
"Public Counter","3,640"
"Emergency",0
"Absentee/Military",69
"Affidavit",29
"Total Ballots","3,738"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,738"
,
"Edward Irizarry","1,082"
"Susan Quirk","1,701"
"MARTIN MALAVE DILAN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",7
"VERMIN SUPREME (Write-In)",1
,
,
,
"Total Votes","2,792"
"Unrecorded",946

"Assembly District 54"
"Public Counter",44
"Emergency",0
"Absentee/Military",0
"Affidavit",0
"Total Ballots",44
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",44
,
"Edward Irizarry",14
"Susan Quirk",26
,
,
,
"Total Votes",40
"Unrecorded",4

"Assembly District 56"
"Public Counter",646
"Emergency",0
"Absentee/Military",9
"Affidavit",7
"Total Ballots",662
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",662
,
"Edward Irizarry",221
"Susan Quirk",367
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes",589
"Unrecorded",73

"Assembly District 57"
"Public Counter",311
"Emergency",0
"Absentee/Military",11
"Affidavit",5
"Total Ballots",327
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",327
,
"Edward Irizarry",118
"Susan Quirk",185
,
,
,
"Total Votes",303
"Unrecorded",24

"Total for Democratic Judge of the Civil Court - District (3rd Municipal Court District - Kings) - Kings County"
"Public Counter","8,270"
"Emergency",0
"Absentee/Military",169
"Affidavit",68
"Total Ballots","8,507"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","8,507"
,
"Edward Irizarry","2,095"
"Susan Quirk","4,979"
"BAILA WANCHTZIZ (Write-In)",1
"CARMEN BONILLA (Write-In)",2
"H WEBER (Write-In)",1
"JIM MORRISON (Write-In)",1
"MARTIN DIGARY (Write-In)",1
"MARTIN MALAVE DILAN (Write-In)",3
"MARTIN TELTELBOURN (Write-In)",1
"MELISSA JANAE (Write-In)",1
"NUCHEM ROSENBERG (Write-In)",1
"RACHEL FREIER (Write-In)",1
"RYAN STANA (Write-In)",1
"S KRUSE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",16
"VERMIN SUPREME (Write-In)",1
"WILLIAM PRZYLUCKI (Write-In)",1
,
,
,
"Total Votes","7,107"
"Unrecorded","1,400"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
