,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Judge of the Civil Court - District


5th Municipal Court District - Kings


Vote for 1"
"Assembly District 44"
"Public Counter","3,737"
"Emergency",0
"Absentee/Military",98
"Affidavit",24
"Total Ballots","3,859"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,859"
,
"Rachel E. Freier","1,198"
"Jill Epstein","1,631"
"Morton M. Avigdor",593
"ARTHUR BELL (Write-In)",1
"CAROLYN DILBERTO (Write-In)",1
"CHANA EICHENSTEIN (Write-In)",1
"CHASKY ROSENBERG (Write-In)",1
"DAMIEN DANIEL (Write-In)",1
"DORA CARROLL (Write-In)",2
"DOV HIKIND (Write-In)",1
"FREDDIE FUNK (Write-In)",1
"GERARD MCCABE (Write-In)",2
"JOHN D. MELLMERS (Write-In)",1
"LISA GARCIA (Write-In)",1
"MOLLY QUINN (Write-In)",1
"PAM GRIFFITH (Write-In)",1
"RACHEL MEEROPOL (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",6
,
,
,
"Total Votes","3,444"
"Unrecorded",415

"Assembly District 46"
"Public Counter","1,903"
"Emergency",0
"Absentee/Military",90
"Affidavit",10
"Total Ballots","2,003"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,003"
,
"Rachel E. Freier",582
"Jill Epstein",864
"Morton M. Avigdor",164
"DOMINIO RECCHIO (Write-In)",1
"JESSICA O'MALONEY SCHWARTZ (Write-In)",1
"JUDITH GRIMALDI (Write-In)",1
"KAREN BACDAYAN (Write-In)",1
"MATTHEW DEMIC (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
,
,
,
"Total Votes","1,617"
"Unrecorded",386

"Assembly District 47"
"Public Counter","1,033"
"Emergency",0
"Absentee/Military",124
"Affidavit",8
"Total Ballots","1,165"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,165"
,
"Rachel E. Freier",362
"Jill Epstein",403
"Morton M. Avigdor",150
"UNATTRIBUTABLE WRITE-IN (Write-In)",5
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes",921
"Unrecorded",244

"Assembly District 48"
"Public Counter","3,375"
"Emergency",0
"Absentee/Military",52
"Affidavit",11
"Total Ballots","3,438"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,438"
,
"Rachel E. Freier","1,617"
"Jill Epstein",138
"Morton M. Avigdor","1,607"
"AARON TYK (Write-In)",1
"DAVID BOLES (Write-In)",1
"DAVID ROSEN (Write-In)",1
"DOV HIKIND (Write-In)",1
"NOACH DEAR (Write-In)",1
"SHIMEVEL FREIER (Write-In)",1
"STEPHEN ROSENBLUM (Write-In)",1
"SUSAN MILLER (Write-In)",1
"TED CRUZ (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
"YEHADA WOLF (Write-In)",1
"YEHODA WOLF (Write-In)",1
,
,
,
"Total Votes","3,377"
"Unrecorded",61

"Assembly District 49"
"Public Counter",908
"Emergency",0
"Absentee/Military",71
"Affidavit",6
"Total Ballots",985
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",985
,
"Rachel E. Freier",403
"Jill Epstein",349
"Morton M. Avigdor",154
"LAURENCE AMANDOLOA (Write-In)",1
"MARGARET MALLOY (Write-In)",1
"ROB AGUILAR (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
"YADIRA HADLETT (Write-In)",1
,
,
,
"Total Votes",914
"Unrecorded",71

"Assembly District 51"
"Public Counter","1,394"
"Emergency",0
"Absentee/Military",50
"Affidavit",6
"Total Ballots","1,450"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,450"
,
"Rachel E. Freier",595
"Jill Epstein",542
"Morton M. Avigdor",189
"ADAM DILEO (Write-In)",2
"EDWARD SNOWDEN (Write-In)",1
"LINDA TIGUNI (Write-In)",1
"THOMAS M OLIVA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
,
,
,
"Total Votes","1,339"
"Unrecorded",111

"Assembly District 52"
"Public Counter",38
"Emergency",0
"Absentee/Military",1
"Affidavit",0
"Total Ballots",39
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",39
,
"Rachel E. Freier",14
"Jill Epstein",20
"Morton M. Avigdor",4
"BERNIE SANDERS (Write-In)",1
,
,
,
"Total Votes",39
,

"Assembly District 64"
"Public Counter",558
"Emergency",0
"Absentee/Military",42
"Affidavit",2
"Total Ballots",602
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",602
,
"Rachel E. Freier",154
"Jill Epstein",298
"Morton M. Avigdor",74
"SUUSAN QUIRK (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes",528
"Unrecorded",74

"Total for Democratic Judge of the Civil Court - District (5th Municipal Court District - Kings) - Kings County"
"Public Counter","12,946"
"Emergency",0
"Absentee/Military",528
"Affidavit",67
"Total Ballots","13,541"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","13,541"
,
"Rachel E. Freier","4,925"
"Jill Epstein","4,245"
"Morton M. Avigdor","2,935"
"AARON TYK (Write-In)",1
"ADAM DILEO (Write-In)",2
"ARTHUR BELL (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CAROLYN DILBERTO (Write-In)",1
"CHANA EICHENSTEIN (Write-In)",1
"CHASKY ROSENBERG (Write-In)",1
"DAMIEN DANIEL (Write-In)",1
"DAVID BOLES (Write-In)",1
"DAVID ROSEN (Write-In)",1
"DOMINIO RECCHIO (Write-In)",1
"DORA CARROLL (Write-In)",2
"DOV HIKIND (Write-In)",2
"EDWARD SNOWDEN (Write-In)",1
"FREDDIE FUNK (Write-In)",1
"GERARD MCCABE (Write-In)",2
"JESSICA O'MALONEY SCHWARTZ (Write-In)",1
"JOHN D. MELLMERS (Write-In)",1
"JUDITH GRIMALDI (Write-In)",1
"KAREN BACDAYAN (Write-In)",1
"LAURENCE AMANDOLOA (Write-In)",1
"LINDA TIGUNI (Write-In)",1
"LISA GARCIA (Write-In)",1
"MARGARET MALLOY (Write-In)",1
"MATTHEW DEMIC (Write-In)",1
"MOLLY QUINN (Write-In)",1
"NOACH DEAR (Write-In)",1
"PAM GRIFFITH (Write-In)",1
"RACHEL MEEROPOL (Write-In)",1
"ROB AGUILAR (Write-In)",1
"SHIMEVEL FREIER (Write-In)",1
"STEPHEN ROSENBLUM (Write-In)",1
"SUSAN MILLER (Write-In)",1
"SUUSAN QUIRK (Write-In)",1
"TED CRUZ (Write-In)",1
"THOMAS M OLIVA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",28
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
"YADIRA HADLETT (Write-In)",1
"YEHADA WOLF (Write-In)",1
"YEHODA WOLF (Write-In)",1
,
,
,
"Total Votes","12,179"
"Unrecorded","1,362"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
