"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"42","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Public Counter",3
"42","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Emergency",0
"42","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Absentee/Military",0
"42","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Affidavit",1
"42","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Josue Pierre",2
"42","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Victor A. Jordan",0
"42","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Public Counter",38
"42","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Emergency",0
"42","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Absentee/Military",1
"42","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Affidavit",0
"42","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Josue Pierre",10
"42","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Victor A. Jordan",21
"42","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Public Counter",50
"42","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Emergency",0
"42","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Absentee/Military",1
"42","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Affidavit",1
"42","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Josue Pierre",15
"42","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Victor A. Jordan",29
"42","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Public Counter",44
"42","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Emergency",0
"42","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Absentee/Military",1
"42","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Affidavit",0
"42","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Josue Pierre",14
"42","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Victor A. Jordan",21
"42","005","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Public Counter",75
"42","005","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Emergency",0
"42","005","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Absentee/Military",1
"42","005","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Affidavit",0
"42","005","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Josue Pierre",42
"42","005","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Victor A. Jordan",27
"42","006","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Public Counter",43
"42","006","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Emergency",0
"42","006","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Absentee/Military",11
"42","006","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Affidavit",1
"42","006","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Josue Pierre",15
"42","006","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Victor A. Jordan",27
"42","007","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Public Counter",45
"42","007","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Emergency",0
"42","007","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Absentee/Military",4
"42","007","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Affidavit",0
"42","007","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Josue Pierre",18
"42","007","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Victor A. Jordan",23
"42","008","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Public Counter",63
"42","008","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Emergency",0
"42","008","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Absentee/Military",2
"42","008","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Affidavit",0
"42","008","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Josue Pierre",26
"42","008","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Victor A. Jordan",25
"42","009","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Public Counter",61
"42","009","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Emergency",0
"42","009","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Absentee/Military",5
"42","009","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Affidavit",0
"42","009","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Josue Pierre",30
"42","009","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Victor A. Jordan",27
"42","010","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Public Counter",70
"42","010","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Emergency",0
"42","010","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Absentee/Military",1
"42","010","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Affidavit",0
"42","010","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Josue Pierre",31
"42","010","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Victor A. Jordan",34
"42","011","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","42",1,"Public Counter",52
