,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Male State Committee


42nd Assembly District


Vote for 1"
"Assembly District 42"
"Public Counter","3,186"
"Emergency",0
"Absentee/Military",175
"Affidavit",9
"Total Ballots","3,370"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,370"
,
"Josue Pierre","1,475"
"Victor A. Jordan","1,370"
"BERNIE SANDERS (Write-In)",1
"CHAROTTE LUBRING (Write-In)",1
"DAVID J. ROSENBERG (Write-In)",2
"MATT FUNICELLA (Write-In)",1
"SYLVIA LERNER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
"WILLIAM SANTAGATA (Write-In)",1
,
,
,
"Total Votes","2,856"
"Unrecorded",514

"Total for Democratic Male State Committee (42nd Assembly District) - Kings County"
"Public Counter","3,186"
"Emergency",0
"Absentee/Military",175
"Affidavit",9
"Total Ballots","3,370"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,370"
,
"Josue Pierre","1,475"
"Victor A. Jordan","1,370"
"BERNIE SANDERS (Write-In)",1
"CHAROTTE LUBRING (Write-In)",1
"DAVID J. ROSENBERG (Write-In)",2
"MATT FUNICELLA (Write-In)",1
"SYLVIA LERNER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
"WILLIAM SANTAGATA (Write-In)",1
,
,
,
"Total Votes","2,856"
"Unrecorded",514


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
