"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"46","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Public Counter",60
"46","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Emergency",0
"46","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Absentee/Military",1
"46","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Affidavit",1
"46","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Mark Treyger",54
"46","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Chris McCreight",7
"46","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Public Counter",88
"46","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Emergency",0
"46","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Absentee/Military",2
"46","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Affidavit",0
"46","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Mark Treyger",80
"46","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Chris McCreight",7
"46","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Public Counter",23
"46","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Emergency",0
"46","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Absentee/Military",0
"46","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Affidavit",0
"46","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Mark Treyger",19
"46","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Chris McCreight",1
"46","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Public Counter",109
"46","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Emergency",0
"46","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male State Committee","46",1,"Absentee/Military",7
