,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Male State Committee


47th Assembly District


Vote for 1"
"Assembly District 47"
"Public Counter","1,973"
"Emergency",0
"Absentee/Military",146
"Affidavit",15
"Total Ballots","2,134"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,134"
,
"Billy Thai",754
"Charles J. Ragusa","1,298"
"UNATTRIBUTABLE WRITE-IN (Write-In)",5
,
,
,
"Total Votes","2,057"
"Unrecorded",77

"Total for Democratic Male State Committee (47th Assembly District) - Kings County"
"Public Counter","1,973"
"Emergency",0
"Absentee/Military",146
"Affidavit",15
"Total Ballots","2,134"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,134"
,
"Billy Thai",754
"Charles J. Ragusa","1,298"
"UNATTRIBUTABLE WRITE-IN (Write-In)",5
,
,
,
"Total Votes","2,057"
"Unrecorded",77


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
