"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"42","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Public Counter",3
"42","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Emergency",0
"42","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Absentee/Military",0
"42","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Affidavit",1
"42","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Rashida N. Wright",1
"42","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Rodneyse Bichotte",3
"42","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Public Counter",38
"42","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Emergency",0
"42","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Absentee/Military",1
"42","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Affidavit",0
"42","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Rashida N. Wright",11
"42","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Rodneyse Bichotte",24
"42","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Public Counter",50
"42","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Emergency",0
"42","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Absentee/Military",1
"42","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Affidavit",1
"42","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Rashida N. Wright",9
"42","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Rodneyse Bichotte",33
"42","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","42",1,"Public Counter",44
