,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Female State Committee


42nd Assembly District


Vote for 1"
"Assembly District 42"
"Public Counter","3,186"
"Emergency",0
"Absentee/Military",175
"Affidavit",9
"Total Ballots","3,370"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,370"
,
"Rashida N. Wright",850
"Rodneyse Bichotte","2,109"
"BERNIE SANDERS (Write-In)",1
"CHAROTTE LUBRING (Write-In)",1
"JENNIFER M. BERKLEY (Write-In)",2
"ROBIN LAVERNE WILLSON (Write-In)",1
"SYLVIA LERNER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","2,967"
"Unrecorded",403

"Total for Democratic Female State Committee (42nd Assembly District) - Kings County"
"Public Counter","3,186"
"Emergency",0
"Absentee/Military",175
"Affidavit",9
"Total Ballots","3,370"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,370"
,
"Rashida N. Wright",850
"Rodneyse Bichotte","2,109"
"BERNIE SANDERS (Write-In)",1
"CHAROTTE LUBRING (Write-In)",1
"JENNIFER M. BERKLEY (Write-In)",2
"ROBIN LAVERNE WILLSON (Write-In)",1
"SYLVIA LERNER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","2,967"
"Unrecorded",403


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
