,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Female State Committee


50th Assembly District


Vote for 1"
"Assembly District 50"
"Public Counter","3,738"
"Emergency",0
"Absentee/Military",84
"Affidavit",31
"Total Ballots","3,853"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,853"
,
"Linda T. Minucci","1,848"
"Emily E. Gallagher","1,504"
"BAILA WANCHTZIZ (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CARMEN BONILLA (Write-In)",1
"CHRISTINE COCO MURRAY (Write-In)",3
"DOV HIKIND (Write-In)",1
"JEFF CHAMPAGNE (Write-In)",1
"LINCOLN RESTLER (Write-In)",1
"MARITZA DAVILA (Write-In)",1
"MEIR PERL (Write-In)",1
"RENEE COLLYMORE (Write-In)",2
"SAM SUNDOS (Write-In)",1
"SUSAN MWUCCI (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"Y RURIN (Write-In)",1
"YISROLE BROWN (Write-In)",1
,
,
,
"Total Votes","3,378"
"Unrecorded",475

"Total for Democratic Female State Committee (50th Assembly District) - Kings County"
"Public Counter","3,738"
"Emergency",0
"Absentee/Military",84
"Affidavit",31
"Total Ballots","3,853"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,853"
,
"Linda T. Minucci","1,848"
"Emily E. Gallagher","1,504"
"BAILA WANCHTZIZ (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CARMEN BONILLA (Write-In)",1
"CHRISTINE COCO MURRAY (Write-In)",3
"DOV HIKIND (Write-In)",1
"JEFF CHAMPAGNE (Write-In)",1
"LINCOLN RESTLER (Write-In)",1
"MARITZA DAVILA (Write-In)",1
"MEIR PERL (Write-In)",1
"RENEE COLLYMORE (Write-In)",2
"SAM SUNDOS (Write-In)",1
"SUSAN MWUCCI (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",8
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"Y RURIN (Write-In)",1
"YISROLE BROWN (Write-In)",1
,
,
,
"Total Votes","3,378"
"Unrecorded",475


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
