"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Public Counter",71
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Emergency",0
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Absentee/Military",0
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Affidavit",0
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Carmen Bonilla",10
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Maritza Davila",43
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Scattered",1
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Public Counter",85
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Emergency",0
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Absentee/Military",1
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Affidavit",0
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Carmen Bonilla",11
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Maritza Davila",53
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Scattered",1
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Public Counter",112
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Emergency",0
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Absentee/Military",0
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Affidavit",1
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Carmen Bonilla",13
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Maritza Davila",79
"53","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Public Counter",42
"53","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Emergency",0
"53","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Absentee/Military",0
"53","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Affidavit",0
"53","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Carmen Bonilla",14
"53","004","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Maritza Davila",23
"53","005","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Public Counter",46
"53","005","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Emergency",0
"53","005","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Absentee/Military",0
"53","005","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Affidavit",0
"53","005","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Carmen Bonilla",3
"53","005","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Maritza Davila",37
"53","006","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Public Counter",4
"53","006","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Emergency",0
"53","006","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Absentee/Military",0
"53","006","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Affidavit",0
"53","006","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Carmen Bonilla",1
"53","006","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Maritza Davila",3
"53","007","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Public Counter",71
"53","007","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Emergency",0
"53","007","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Absentee/Military",0
"53","007","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Affidavit",0
"53","007","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Carmen Bonilla",10
"53","007","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Maritza Davila",45
"53","008","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Public Counter",13
"53","008","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Emergency",0
"53","008","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Absentee/Military",1
"53","008","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Affidavit",1
"53","008","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Carmen Bonilla",6
"53","008","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Maritza Davila",7
"53","009","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Public Counter",69
"53","009","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Emergency",0
"53","009","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Absentee/Military",1
"53","009","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Affidavit",0
"53","009","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Carmen Bonilla",14
"53","009","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Maritza Davila",42
"53","010","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Public Counter",85
"53","010","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Emergency",0
"53","010","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Absentee/Military",0
"53","010","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Affidavit",0
"53","010","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Carmen Bonilla",18
"53","010","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Maritza Davila",47
"53","011","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Public Counter",64
"53","011","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Emergency",0
"53","011","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Absentee/Military",0
"53","011","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Affidavit",2
"53","011","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Carmen Bonilla",9
"53","011","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Maritza Davila",26
"53","011","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Scattered",1
"53","012","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Public Counter",101
"53","012","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Emergency",0
"53","012","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Absentee/Military",0
"53","012","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Affidavit",0
"53","012","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Carmen Bonilla",22
"53","012","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Maritza Davila",59
"53","012","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Scattered",1
"53","013","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female State Committee","53",1,"Public Counter",50
