,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Female State Committee


53rd Assembly District


Vote for 1"
"Assembly District 53"
"Public Counter","4,449"
"Emergency",0
"Absentee/Military",71
"Affidavit",34
"Total Ballots","4,554"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,554"
,
"Carmen Bonilla","1,425"
"Maritza Davila","2,429"
"ANNE R. DANA (Write-In)",1
"BREE VAN DE KAMP (Write-In)",1
"EMILY CALLAGER (Write-In)",1
"GINA KEATLEY (Write-In)",1
"LEONORA MURPHY (Write-In)",1
"LINDA T. MINUCCI (Write-In)",5
"UNATTRIBUTABLE WRITE-IN (Write-In)",7
"VERMIN SUPREME (Write-In)",1
"WOLF RETER (Write-In)",1
,
,
,
"Total Votes","3,873"
"Unrecorded",681

"Total for Democratic Female State Committee (53rd Assembly District) - Kings County"
"Public Counter","4,449"
"Emergency",0
"Absentee/Military",71
"Affidavit",34
"Total Ballots","4,554"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,554"
,
"Carmen Bonilla","1,425"
"Maritza Davila","2,429"
"ANNE R. DANA (Write-In)",1
"BREE VAN DE KAMP (Write-In)",1
"EMILY CALLAGER (Write-In)",1
"GINA KEATLEY (Write-In)",1
"LEONORA MURPHY (Write-In)",1
"LINDA T. MINUCCI (Write-In)",5
"UNATTRIBUTABLE WRITE-IN (Write-In)",7
"VERMIN SUPREME (Write-In)",1
"WOLF RETER (Write-In)",1
,
,
,
"Total Votes","3,873"
"Unrecorded",681


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
