,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Delegate to Judicial Convention


41st Assembly District


Vote for 5"
"Assembly District 41"
"Public Counter","2,035"
"Emergency",0
"Absentee/Military",167
"Affidavit",12
"Total Ballots","2,214"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,214"
,
"Rosie M. Steele","1,401"
"Mariya Yudkevich",769
"Sharon Wacholder","1,294"
"Alisa Ziff","1,086"
"Alan S. Fintz","1,000"
"Debra Nehmad","1,067"
"Jeffrey A. Wacholder","1,018"
"ALLEN S.POPPER (Write-In)",1
"ALYSON KENNEDY (Write-In)",1
"CHRISTINE GANNON (Write-In)",1
"CONSTAND VILJOEN (Write-In)",1
"DEXTER MCKENZIE (Write-In)",1
"DOV HIKIND (Write-In)",1
"ELLIOT GOLDBERG (Write-In)",1
"ERROL LEWIS (Write-In)",1
"GRACE MENG (Write-In)",1
"GREGORY MEEKS (Write-In)",1
"GYLVE FENRIS MAGELL (Write-In)",1
"GYSTEIN ARSETH (Write-In)",1
"HAKEEM JEFFRIES (Write-In)",2
"HAZEL KEGES (Write-In)",1
"HENRY ROSENBERG (Write-In)",1
"JEREMY KASHA (Write-In)",1
"JORDANA WOLF (Write-In)",1
"KJETIL MUNHEIM (Write-In)",1
"LETITIA JAMES (Write-In)",1
"LORI MASLAW (Write-In)",1
"LORI MASLOW (Write-In)",1
"MAHCSSE MENCEDE (Write-In)",1
"MERCEDES NARCISSE (Write-In)",3
"MICHAEL GARSON (Write-In)",1
"MIKE LITORIS (Write-In)",1
"MORTON M AVIGDOR (Write-In)",1
"NACHEM GREENSPAN (Write-In)",1
"NATHANIEL BURKE (Write-In)",1
"NORM CHOMSKY (Write-In)",1
"NYDIA VELAZQUEZ (Write-In)",1
"OSBORNE HART (Write-In)",1
"PER YNGVE OHLIN (Write-In)",1
"RACHEL FREIER (Write-In)",1
"RICHARD REISMAN (Write-In)",1
"ROBERT CARROLL (Write-In)",1
"ROBERT FERNANDEZ (Write-In)",1
"ROBERT GOODMAN (Write-In)",1
"ROSIE STEAL (Write-In)",1
"ROXANNE PERSAUD (Write-In)",1
"RUCHIE FRIER (Write-In)",1
"SAMUEL RUBINSTEIN (Write-In)",5
"TED KRISCHER (Write-In)",1
"TERJE VIK SCHEI (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",39
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",4
"VICTOR JORDAN (Write-In)",1
"YVETTE CLARKE (Write-In)",1
,
,
,
"Total Votes","7,730"
"Unrecorded","3,340"

"Total for Democratic Delegate to Judicial Convention (41st Assembly District) - Kings County"
"Public Counter","2,035"
"Emergency",0
"Absentee/Military",167
"Affidavit",12
"Total Ballots","2,214"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,214"
,
"Rosie M. Steele","1,401"
"Mariya Yudkevich",769
"Sharon Wacholder","1,294"
"Alisa Ziff","1,086"
"Alan S. Fintz","1,000"
"Debra Nehmad","1,067"
"Jeffrey A. Wacholder","1,018"
"ALLEN S.POPPER (Write-In)",1
"ALYSON KENNEDY (Write-In)",1
"CHRISTINE GANNON (Write-In)",1
"CONSTAND VILJOEN (Write-In)",1
"DEXTER MCKENZIE (Write-In)",1
"DOV HIKIND (Write-In)",1
"ELLIOT GOLDBERG (Write-In)",1
"ERROL LEWIS (Write-In)",1
"GRACE MENG (Write-In)",1
"GREGORY MEEKS (Write-In)",1
"GYLVE FENRIS MAGELL (Write-In)",1
"GYSTEIN ARSETH (Write-In)",1
"HAKEEM JEFFRIES (Write-In)",2
"HAZEL KEGES (Write-In)",1
"HENRY ROSENBERG (Write-In)",1
"JEREMY KASHA (Write-In)",1
"JORDANA WOLF (Write-In)",1
"KJETIL MUNHEIM (Write-In)",1
"LETITIA JAMES (Write-In)",1
"LORI MASLAW (Write-In)",1
"LORI MASLOW (Write-In)",1
"MAHCSSE MENCEDE (Write-In)",1
"MERCEDES NARCISSE (Write-In)",3
"MICHAEL GARSON (Write-In)",1
"MIKE LITORIS (Write-In)",1
"MORTON M AVIGDOR (Write-In)",1
"NACHEM GREENSPAN (Write-In)",1
"NATHANIEL BURKE (Write-In)",1
"NORM CHOMSKY (Write-In)",1
"NYDIA VELAZQUEZ (Write-In)",1
"OSBORNE HART (Write-In)",1
"PER YNGVE OHLIN (Write-In)",1
"RACHEL FREIER (Write-In)",1
"RICHARD REISMAN (Write-In)",1
"ROBERT CARROLL (Write-In)",1
"ROBERT FERNANDEZ (Write-In)",1
"ROBERT GOODMAN (Write-In)",1
"ROSIE STEAL (Write-In)",1
"ROXANNE PERSAUD (Write-In)",1
"RUCHIE FRIER (Write-In)",1
"SAMUEL RUBINSTEIN (Write-In)",5
"TED KRISCHER (Write-In)",1
"TERJE VIK SCHEI (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",39
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",4
"VICTOR JORDAN (Write-In)",1
"YVETTE CLARKE (Write-In)",1
,
,
,
"Total Votes","7,730"
"Unrecorded","3,340"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
